Quadro 2.2.  Veículos intervenientes em acidentes com vítimas em Portugal por categoria e idade do veículo,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,
,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021
Automóvel ligeiro ,7963,5271,5890,7072,4492,5711,9078,6009,6537,9960,6748,7087,7697,6230,7073,3408,2779,3530,487,334,210,45665,31863,36038
Automóvel pesado ,325,262,273,342,198,257,423,320,324,322,229,271,169,145,152,74,73,78,24,9,4,1679,1236,1359
Ciclomotores ,464,342,352,311,200,245,669,495,463,205,141,159,281,228,205,559,460,514,17,15,7,2506,1881,1945
Motociclo cilindrada <= 125cc ,2057,1797,2041,1211,898,1037,500,474,626,229,176,176,232,198,179,206,178,193,16,28,18,4451,3749,4270
Motociclo cilindrada > 125cc ,1007,855,972,405,323,423,483,413,385,472,410,425,420,355,392,285,253,287,15,14,10,3087,2623,2894
Velocípedes,207,225,306,57,37,55,11,27,22,14,7,6,3,21,22,5,4,4,277,258,265,574,579,680
Quadriciclo ,55,51,51,54,37,32,144,107,87,76,63,73,18,24,34,0,4,7,0,2,0,347,288,284
Triciclo ,22,13,4,10,6,6,8,8,4,3,0,0,2,3,5,1,1,3,1,0,1,47,31,23
Veículo agrícola ,55,56,57,20,11,21,20,24,13,35,30,19,22,20,26,60,60,71,4,1,1,216,202,208
Outros* ,48,36,41,8,6,12,2,3,3,3,5,0,3,4,2,2,2,4,2134,2046,2422,2200,2102,2484
Total ,12203,8908,9987,9490,6208,7799,11338,7880,8464,11319,7809,8216,8847,7228,8090,4600,3814,4691,2975,2707,2938,60772,44554,50185
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,
,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20,∆(%)  20/19,∆(%)  21/19,∆(%)  21/20
Automóvel ligeiro ,-0.33806354389049353,-0.26032902172548034,0.11743502181749199,-0.3648190045248869,-0.19244909502262442,0.27137132680320564,-0.338070059484468,-0.2799074686054197,0.08786819770344478,-0.32248995983935747,-0.2884538152610442,0.05023710729104924,-0.19059373781992983,-0.08107054696635052,0.13531300160513648,-0.1845657276995305,0.035798122065727744,0.2702410939186757,-0.3141683778234087,-0.568788501026694,-0.37125748502994016,-0.30224460746742576,-0.2108179130625205,0.13102972099300136
Automóvel pesado ,-0.1938461538461539,-0.16000000000000003,0.041984732824427384,-0.42105263157894735,-0.2485380116959064,0.297979797979798,-0.2434988179669031,-0.23404255319148937,0.012499999999999956,-0.28881987577639756,-0.15838509316770188,0.1834061135371179,-0.14201183431952658,-0.10059171597633132,0.048275862068965614,-0.013513513513513487,0.054054054054053946,0.06849315068493156,-0.625,-0.8333333333333334,-0.5555555555555556,-0.26384752829064917,-0.19058963668850504,0.09951456310679618
Ciclomotores ,-0.2629310344827587,-0.24137931034482762,0.029239766081871288,-0.35691318327974275,-0.21221864951768488,0.2250000000000001,-0.2600896860986547,-0.3079222720478326,-0.06464646464646462,-0.31219512195121957,-0.224390243902439,0.12765957446808507,-0.18861209964412806,-0.2704626334519573,-0.10087719298245612,-0.17710196779964227,-0.0805008944543828,0.11739130434782608,-0.11764705882352944,-0.5882352941176471,-0.5333333333333333,-0.24940143655227454,-0.22386272944932162,0.034024455077086735
Motociclo cilindrada <= 125cc ,-0.12639766650461837,-0.007778317938745727,0.13578185865331105,-0.2584640792733278,-0.143682906688687,0.15478841870824045,-0.052000000000000046,0.252,0.32067510548523215,-0.23144104803493448,-0.23144104803493448,0,-0.14655172413793105,-0.22844827586206895,-0.09595959595959591,-0.13592233009708743,-0.06310679611650483,0.08426966292134841,0.75,0.125,-0.3571428571428571,-0.1577173668838463,-0.04066501909683218,0.1389703921045613
Motociclo cilindrada > 125cc ,-0.15094339622641506,-0.0347567030784508,0.13684210526315788,-0.20246913580246917,0.04444444444444451,0.30959752321981426,-0.14492753623188404,-0.2028985507246377,-0.06779661016949157,-0.1313559322033898,-0.09957627118644063,0.03658536585365857,-0.15476190476190477,-0.06666666666666665,0.10422535211267614,-0.11228070175438598,0.007017543859649145,0.13438735177865602,-0.06666666666666665,-0.33333333333333337,-0.2857142857142857,-0.15030774214447684,-0.06252024619371555,0.1033168128097599
Velocípedes,0.08695652173913038,0.4782608695652173,0.3600000000000001,-0.3508771929824561,-0.03508771929824561,0.4864864864864864,1.4545454545454546,1,-0.18518518518518523,-0.5,-0.5714285714285714,-0.1428571428571429,6,6.333333333333333,0.04761904761904767,-0.19999999999999996,-0.19999999999999996,0,-0.06859205776173283,-0.04332129963898912,0.027131782945736482,0.008710801393728262,0.18466898954703836,0.17443868739205537
Quadriciclo ,-0.07272727272727275,-0.07272727272727275,0,-0.31481481481481477,-0.40740740740740744,-0.1351351351351351,-0.2569444444444444,-0.39583333333333337,-0.1869158878504673,-0.17105263157894735,-0.03947368421052633,0.15873015873015883,0.33333333333333326,0.8888888888888888,0.41666666666666674,-,-,0.75,-,-,-1,-0.17002881844380402,-0.18155619596541783,-0.01388888888888884
Triciclo ,-0.40909090909090906,-0.8181818181818181,-0.6923076923076923,-0.4,-0.4,0,0,-0.5,-0.5,-1,-1,-,-,-,0.6666666666666667,0,2,-,-1,0,-,-0.34042553191489366,-0.5106382978723405,-0.25806451612903225
Veículo agrícola ,0.018181818181818077,0.036363636363636376,0.017857142857142794,-0.44999999999999996,0.050000000000000044,0.9090909090909092,0.19999999999999996,-0.35,-0.45833333333333337,-0.1428571428571429,-0.4571428571428572,-0.3666666666666667,-0.09090909090909094,0.18181818181818188,0.30000000000000004,0,0.18333333333333335,0.18333333333333335,-0.75,-0.75,0,-0.06481481481481477,-0.03703703703703709,0.02970297029702973
Outros* ,-0.25,-0.14583333333333337,0.13888888888888884,-0.25,0.5,1,0.5,0.5,0,0.6666666666666667,-1,-1,0.33333333333333326,-0.33333333333333337,-0.5,0,1,1,-0.04123711340206182,0.13495782567947523,0.1837732160312806,-0.044545454545454555,0.12909090909090915,0.1817316841103711
Total ,-0.27001556994181763,-0.18159468983036953,0.12112707678491241,-0.34583772391991574,-0.1781875658587987,0.2562822164948453,-0.30499206209207974,-0.25348385958722874,0.07411167512690353,-0.31009806520010597,-0.2741408251612333,0.05211934946856189,-0.1829998869673336,-0.08556572849553523,0.11925843940232439,-0.17086956521739127,0.01978260869565207,0.22994231777661245,-0.09008403361344541,-0.012436974789916011,0.08533431843369033,-0.2668663200157968,-0.17420851708023433,0.1263859586120213
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
