Quadro 3.2 Vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo e peões,VM,,,,FG,,,,FL,,,,Total de vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,2019,2020,2021
Peões,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843,2.340745694699883,2.60577915376677,2.425418384671356,7.5238254472496235,7.507739938080496,7.421780257094349
Automóvel ligeiro,293,240,245,0.02083333333333326,981,822,902,0.09732360097323611,26734,17830,20108,0.1277621985417836,28008,18892,21255,0.12507939868727513,1.0461296772350757,1.270378996400593,1.1526699600094095,3.502570694087404,4.351048062672031,4.243707362973418
Automóvel pesado,37,13,8,-0.3846153846153846,45,19,29,0.5263157894736843,600,354,511,0.44350282485875714,682,386,548,0.4196891191709844,5.425219941348973,3.3678756476683938,1.4598540145985401,6.598240469208211,4.922279792746114,5.291970802919708
Ciclomotor,36,26,29,0.11538461538461542,158,118,128,0.0847457627118644,2391,1799,1860,0.03390772651473051,2585,1943,2017,0.03808543489449301,1.3926499032882012,1.3381369016984046,1.4377788795240456,6.112185686653771,6.0730828615542976,6.346058502726821
Motociclo cilindrada <= 125cc,37,32,28,-0.125,215,159,251,0.578616352201258,4330,3639,4098,0.12613355317394892,4582,3830,4377,0.14281984334203646,0.8075076385857703,0.8355091383812011,0.6397075622572538,4.692274116106503,4.151436031331593,5.734521361663239
Motociclo cilindrada > 125cc,90,84,85,0.011904761904761862,342,283,339,0.1978798586572439,2790,2354,2582,0.09685641461342387,3222,2721,3006,0.10474090407938252,2.793296089385475,3.0871003307607494,2.8276779773785763,10.614525139664805,10.400588019110621,11.27744510978044
Velocípede,27,19,34,0.7894736842105263,121,120,147,0.2250000000000001,2172,2160,2568,0.18888888888888888,2320,2299,2749,0.19573727707699007,1.1637931034482758,0.8264462809917356,1.2368133866860678,5.2155172413793105,5.219660722053067,5.347399054201528
Quadriciclo,12,7,14,1,40,30,29,-0.033333333333333326,319,255,232,-0.09019607843137256,371,292,275,-0.05821917808219179,3.234501347708895,2.397260273972603,5.090909090909091,10.78167115902965,10.273972602739727,10.545454545454545
Triciclo,0,1,0,-1,1,4,4,0,45,25,21,-0.16000000000000003,46,30,25,-0.16666666666666663,0,3.3333333333333335,0,2.1739130434782608,13.333333333333334,16
Veículo agrícola,15,13,17,0.3076923076923077,25,24,23,-0.04166666666666663,105,116,108,-0.06896551724137934,145,153,148,-0.0326797385620915,10.344827586206897,8.49673202614379,11.486486486486486,17.24137931034483,15.686274509803921,15.54054054054054
Outros*,1,0,1,1,5,7,3,-0.5714285714285714,57,42,48,0.1428571428571428,63,49,52,0.061224489795918435,1.5873015873015872,0,1.923076923076923,7.936507936507937,14.285714285714286,5.769230769230769
Total,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331,48005,34471,38575,0.11905659830002024,1.4331840433288199,1.5549302312088422,1.4543097861309138,4.964066243099677,5.445156798468278,5.602073882047958
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
