"Quadro 3.3 Vítimas mortais em Portugal por veículo, segundo o principal outro veículo no acidente, 2021",,,,,,,,,,,
,,,,,,,,,,,
"Veículo alvo de 
colisão e peões","Automóvel
ligeiro
passageiros","Automóvel
ligeiro
mercadorias","Automóvel
pesado
passageiros","Automóvel
pesado
mercadorias",Velocípede,Ciclomotor,Motociclo,Outros*,Peões,Nenhum,Total
"Veículo da 
VM e peões",,,,,,,,,,,
Automóvel ligeiro passageiros,51,18,3,18,0,0,0,3,0,110,203
Automóvel ligeiro mercadorias,7,2,1,6,0,0,0,2,0,23,41
Automóvel pesado passageiros,0,0,0,0,0,0,0,0,0,0,0
Automóvel pesado mercadorias,0,0,0,0,0,0,0,0,1,4,5
Velocípede,16,9,0,2,0,0,2,2,0,3,34
Ciclomotor,8,6,0,3,0,0,0,0,0,12,29
Motociclo,37,11,1,7,0,1,2,1,0,53,113
Outros*,7,1,0,1,0,0,0,0,0,27,36
Peões,55,20,1,8,1,0,6,9,-,-,100
Total,181,67,6,45,1,1,10,17,1,232,561
"*Inclui veículos de tração animal, sobre carris, especiais, ligeiros e pesados sem especificação adicional, máquinas industriais, desconhecido e ainda não definidos",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
