Quadro 3.5 Vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
<=14,14,10,14,0.3999999999999999,91,69,81,0.17391304347826098,2435,1449,1669,0.15182884748102143,2540,1528,1764,0.15445026178010468
15_19,24,23,24,0.04347826086956519,133,117,151,0.2905982905982907,3336,2368,2554,0.07854729729729737,3493,2508,2729,0.0881180223285487
20_24,58,33,36,0.09090909090909083,219,215,237,0.10232558139534875,5039,3716,4223,0.13643702906350907,5316,3964,4496,0.13420787083753782
25_29,46,52,39,-0.25,218,190,218,0.1473684210526316,4156,3163,3598,0.1375276636104963,4420,3405,3855,0.13215859030836996
30_34,38,36,32,-0.11111111111111116,192,140,201,0.4357142857142857,3616,2570,3045,0.18482490272373542,3846,2746,3278,0.1937363437727604
35_39,47,32,42,0.3125,199,162,160,-0.012345679012345734,3389,2434,2754,0.1314708299096139,3635,2628,2956,0.12480974124809752
40_44,42,38,32,-0.1578947368421053,219,155,165,0.06451612903225801,3718,2718,2839,0.04451802796173654,3979,2911,3036,0.042940570250773025
45_49,54,46,46,0,161,155,179,0.1548387096774193,3479,2704,2906,0.0747041420118344,3694,2905,3131,0.07779690189328736
50_54,37,36,42,0.16666666666666674,163,136,168,0.23529411764705888,3148,2269,2691,0.18598501542529755,3348,2441,2901,0.1884473576403114
55_59,35,37,47,0.2702702702702702,151,117,151,0.2905982905982907,3049,2159,2351,0.0889300602130616,3235,2313,2549,0.10203199308257682
60_64,47,47,46,-0.021276595744680882,145,106,116,0.09433962264150941,2506,1787,1975,0.10520425293788471,2698,1940,2137,0.1015463917525774
65_69,60,33,27,-0.18181818181818177,147,90,82,-0.0888888888888889,1999,1421,1533,0.07881773399014769,2206,1544,1642,0.06347150259067358
70_74,59,29,35,0.2068965517241379,122,76,94,0.23684210526315796,1816,1208,1382,0.14403973509933765,1997,1313,1511,0.15079969535415083
>=75,125,83,99,0.19277108433734935,217,149,158,0.06040268456375841,3207,2083,2326,0.11665866538646186,3549,2315,2583,0.11576673866090714
n.d.,2,1,0,-1,6,0,0,-,41,9,7,-0.2222222222222222,49,10,7,-0.30000000000000004
Total,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331,48005,34471,38575,0.11905659830002024
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
