Quadro 4.1  Peões vítimas em Portugal por regiões NUTS I,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Regiões,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Continente,134,93,93,0,409,263,287,0.09125475285171092,5180,3355,3559,0.060804769001490344,5723,3711,3939,0.06143896523848014
RA Açores,5,5,4,-0.19999999999999996,24,11,12,0.09090909090909083,77,40,62,0.55,106,56,78,0.3928571428571428
RA Madeira,1,3,3,0,17,17,7,-0.5882352941176471,134,89,96,0.0786516853932584,152,109,106,-0.02752293577981646
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
