Quadro 4.10  Peões vítimas em Portugal por distrito e RA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e RA,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Aveiro,5,5,7,0.3999999999999999,27,18,13,-0.2777777777777778,283,194,193,-0.005154639175257714,315,217,213,-0.018433179723502335
Beja,2,0,1,-,9,6,6,0,35,33,26,-0.21212121212121215,46,39,33,-0.15384615384615385
Braga,11,5,9,0.8,35,27,28,0.03703703703703698,417,312,292,-0.0641025641025641,463,344,329,-0.043604651162790664
Bragança,1,1,2,1,11,3,7,1.3333333333333335,51,23,33,0.4347826086956521,63,27,42,0.5555555555555556
C. Branco,1,1,4,3,10,8,8,0,59,38,42,0.10526315789473695,70,47,54,0.14893617021276606
Coimbra,7,3,2,-0.33333333333333337,16,4,6,0.5,164,124,108,-0.12903225806451613,187,131,116,-0.1145038167938931
Évora,3,0,2,-,8,4,2,-0.5,38,27,34,0.2592592592592593,49,31,38,0.22580645161290325
Faro,11,9,8,-0.11111111111111116,27,22,25,0.13636363636363646,242,161,183,0.1366459627329193,280,192,216,0.125
Guarda,1,1,0,-1,6,5,4,-0.19999999999999996,43,21,26,0.23809523809523814,50,27,30,0.11111111111111116
Leiria,11,7,2,-0.7142857142857143,18,6,10,0.6666666666666667,184,101,107,0.05940594059405946,213,114,119,0.04385964912280693
Lisboa,25,25,23,-0.07999999999999996,103,61,70,0.14754098360655732,1615,947,1038,0.0960929250263991,1743,1033,1131,0.09486931268151011
Portalegre,1,2,2,0,5,5,4,-0.19999999999999996,27,27,29,0.07407407407407418,33,34,35,0.02941176470588225
Porto,26,18,9,-0.5,43,28,39,0.3928571428571428,1093,754,839,0.11273209549071628,1162,800,887,0.1087499999999999
Santarém,5,3,9,2,24,16,12,-0.25,152,83,77,-0.07228915662650603,181,102,98,-0.039215686274509776
Setúbal,7,5,5,0,29,29,29,0,455,313,342,0.09265175718849838,491,347,376,0.0835734870317002
V. Castelo,8,2,3,0.5,9,5,6,0.19999999999999996,94,46,47,0.021739130434782705,111,53,56,0.05660377358490565
Vila Real,5,2,3,0.5,13,8,5,-0.375,80,59,60,0.016949152542372836,98,69,68,-0.01449275362318836
Viseu,4,4,2,-0.5,16,8,13,0.625,148,92,83,-0.09782608695652173,168,104,98,-0.05769230769230771
RA Açores,5,5,4,-0.19999999999999996,24,11,12,0.09090909090909083,77,42,64,0.5238095238095237,106,58,80,0.3793103448275863
RA Madeira,1,3,3,0,17,17,7,-0.5882352941176471,134,87,94,0.08045977011494254,152,107,104,-0.028037383177570097
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
