Quadro 4.13  Peões vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
<=14,3,0,4,1,37,29,30,0.034482758620689724,594,340,443,0.30294117647058827,634,369,477,0.29268292682926833
15_19,2,4,0,-1,17,18,16,-0.11111111111111116,414,234,261,0.11538461538461542,433,256,277,0.08203125
20_24,4,2,1,-0.5,23,12,14,0.16666666666666674,340,190,206,0.08421052631578951,367,204,221,0.08333333333333326
25_29,3,1,4,3,15,12,10,-0.16666666666666663,232,152,156,0.026315789473684292,250,165,170,0.030303030303030276
30_34,1,5,5,0,10,8,13,0.625,214,117,162,0.3846153846153846,225,130,180,0.3846153846153846
35_39,3,1,1,0,11,9,12,0.33333333333333326,220,138,156,0.13043478260869557,234,148,169,0.14189189189189189
40_44,1,5,4,-0.19999999999999996,30,11,16,0.4545454545454546,282,176,173,-0.017045454545454586,313,192,193,0.005208333333333259
45_49,11,4,5,0.25,22,22,17,-0.2272727272727273,308,224,232,0.03571428571428581,341,250,254,0.016000000000000014
50_54,5,8,10,0.25,32,25,20,-0.19999999999999996,362,238,253,0.06302521008403361,399,271,283,0.04428044280442811
55_59,10,7,7,0,35,24,27,0.125,412,290,275,-0.051724137931034475,457,321,309,-0.03738317757009346
60_64,15,9,8,-0.11111111111111116,34,25,25,0,395,277,274,-0.010830324909747335,444,311,307,-0.012861736334405127
65_69,20,10,7,-0.30000000000000004,44,22,22,0,346,252,251,-0.003968253968253954,410,284,280,-0.014084507042253502
70_74,20,9,12,0.33333333333333326,57,21,25,0.19047619047619047,406,279,299,0.07168458781362008,483,309,336,0.08737864077669899
>=75,41,36,32,-0.11111111111111116,83,53,59,0.1132075471698113,866,576,573,-0.00520833333333337,990,665,664,-0.0015037593984962294
nd,1,0,0,-,0,0,0,-,0,1,3,2,1,1,3,2
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
