Quadro 4.5  Peões vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
[00:00-03:00[,7,4,7,0.75,7,6,9,0.5,84,37,49,0.32432432432432434,98,47,65,0.38297872340425543
[03:00-06:00[,2,4,0,-1,8,4,3,-0.25,36,11,16,0.4545454545454546,46,19,19,0
[06:00-09:00[,7,20,10,-0.5,54,38,32,-0.1578947368421053,561,364,407,0.11813186813186816,622,422,449,0.06398104265402837
[09:00-12:00[,21,19,13,-0.3157894736842105,68,46,51,0.10869565217391308,969,714,795,0.11344537815126055,1058,779,859,0.10269576379974321
[12:00-15:00[,14,14,16,0.1428571428571428,63,36,39,0.08333333333333326,893,565,641,0.13451327433628313,970,615,696,0.13170731707317063
[15:00-18:00[,29,18,24,0.33333333333333326,77,47,81,0.7234042553191489,1148,727,830,0.141678129298487,1254,792,935,0.18055555555555558
[18:00-21:00[,45,16,26,0.625,129,87,69,-0.2068965517241379,1357,890,782,-0.12134831460674156,1531,993,877,-0.11681772406847934
[21:00-00:00[,15,6,4,-0.33333333333333337,44,27,22,-0.18518518518518523,343,176,197,0.11931818181818188,402,209,223,0.06698564593301426
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
