Quadro 4.6  Peões vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Bom tempo,126,86,92,0.06976744186046502,372,250,277,0.1080000000000001,4424,2921,3306,0.13180417665183164,4922,3257,3675,0.12833896223518582
Chuva,13,13,8,-0.3846153846153846,75,38,28,-0.26315789473684215,928,544,382,-0.2977941176470589,1016,595,418,-0.2974789915966387
Nevoeiro,0,2,0,-1,1,2,1,-0.5,18,10,14,0.3999999999999999,19,14,15,0.0714285714285714
Vento Forte,1,0,0,-,1,1,0,-1,7,1,2,1,9,2,2,0
Neve,0,0,0,-,0,0,0,-,1,0,0,-,1,0,0,-
Fumo,0,0,0,-,1,0,0,-,0,0,0,-,1,0,0,-
n.d.,0,0,0,-,0,0,0,-,13,8,13,0.625,13,8,13,0.625
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
