Quadro 5.12 Passageiros vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
<=14,10,8,7,-0.125,45,25,33,0.32000000000000006,1697,972,1042,0.07201646090534974,1752,1005,1082,0.07661691542288551
15_19,9,7,10,0.4285714285714286,50,35,36,0.02857142857142847,1163,698,833,0.19340974212034379,1222,740,879,0.1878378378378378
20_24,14,9,11,0.22222222222222232,58,55,60,0.09090909090909083,1240,854,1029,0.20491803278688514,1312,918,1100,0.1982570806100219
25_29,8,14,3,-0.7857142857142857,34,38,36,-0.052631578947368474,851,560,683,0.21964285714285725,893,612,722,0.1797385620915033
30_34,7,3,7,1.3333333333333335,27,22,39,0.7727272727272727,613,414,509,0.22946859903381633,647,439,555,0.26423690205011385
35_39,3,2,7,2.5,25,25,20,-0.19999999999999996,507,356,413,0.1601123595505618,535,383,440,0.1488250652741514
40_44,4,1,2,1,29,11,19,0.7272727272727273,593,403,449,0.11414392059553347,626,415,470,0.1325301204819278
45_49,6,7,3,-0.5714285714285714,17,17,24,0.41176470588235303,559,392,451,0.15051020408163263,582,416,478,0.14903846153846145
50_54,6,5,4,-0.19999999999999996,22,13,30,1.3076923076923075,552,356,418,0.1741573033707866,580,374,452,0.20855614973262027
55_59,5,5,1,-0.8,17,7,14,1,616,354,417,0.17796610169491522,638,366,432,0.180327868852459
60_64,11,2,3,0.5,16,11,10,-0.09090909090909094,547,328,361,0.10060975609756095,574,341,374,0.09677419354838701
65_69,12,3,4,0.33333333333333326,30,14,1,-0.9285714285714286,490,281,298,0.06049822064056931,532,298,303,0.016778523489932917
70_74,11,3,3,0,11,13,13,0,420,247,298,0.20647773279352233,442,263,314,0.19391634980988592
>=75,39,9,18,1,37,25,29,0.15999999999999992,818,421,516,0.22565320665083144,894,455,563,0.2373626373626374
nd,0,0,0,-,0,0,0,-,1,0,0,-,1,0,0,-
Total,145,78,83,0.0641025641025641,418,311,364,0.17041800643086824,10667,6636,7717,0.16289933694996983,11230,7025,8164,0.16213523131672591
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
