Quadro 5.3 Passageiros vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Jan,11,6,6,0,20,24,19,-0.20833333333333337,804,719,329,-0.5424200278164117,835,749,354,-0.527369826435247
Fev,6,8,1,-0.875,20,42,11,-0.7380952380952381,637,693,203,-0.7070707070707071,663,743,215,-0.7106325706594885
Mar,5,5,2,-0.6,33,16,22,0.375,866,389,378,-0.028277634961439535,904,410,402,-0.019512195121951237
Abr,35,4,2,-0.5,39,13,24,0.8461538461538463,859,160,484,2.025,933,177,510,1.8813559322033897
Mai,12,9,5,-0.4444444444444444,31,24,26,0.08333333333333326,830,378,706,0.8677248677248677,873,411,737,0.7931873479318734
Jun,7,8,7,-0.125,39,17,42,1.4705882352941178,877,524,719,0.37213740458015265,923,549,768,0.3989071038251366
Jul,10,14,14,0,43,30,26,-0.1333333333333333,962,648,858,0.3240740740740742,1015,692,898,0.29768786127167624
Ago,16,7,12,0.7142857142857142,70,44,33,-0.25,1212,835,1016,0.21676646706586822,1298,886,1061,0.19751693002257342
Set,18,5,13,1.6,41,37,40,0.08108108108108114,982,708,742,0.04802259887005644,1041,750,795,0.06000000000000005
Out,14,6,11,0.8333333333333333,25,20,49,1.4500000000000002,859,532,850,0.5977443609022557,898,558,910,0.6308243727598566
Nov,7,1,6,5,25,19,36,0.894736842105263,898,502,694,0.38247011952191245,930,522,736,0.4099616858237547
Dez,4,5,4,-0.19999999999999996,32,25,36,0.43999999999999995,881,548,738,0.34671532846715336,917,578,778,0.3460207612456747
Total,145,78,83,0.0641025641025641,418,311,364,0.17041800643086824,10667,6636,7717,0.16289933694996983,11230,7025,8164,0.16213523131672591
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
