Quadro 5.5 Passageiros vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
[00:00-03:00[,9,9,9,0,40,19,37,0.9473684210526316,512,331,391,0.18126888217522663,561,359,437,0.21727019498607247
[03:00-06:00[,8,7,5,-0.2857142857142857,27,20,25,0.25,295,190,198,0.042105263157894646,330,217,228,0.05069124423963123
[06:00-09:00[,10,4,6,0.5,35,29,46,0.5862068965517242,1042,630,733,0.16349206349206358,1087,663,785,0.18401206636500755
[09:00-12:00[,15,8,15,0.875,35,28,37,0.3214285714285714,1424,885,1080,0.22033898305084754,1474,921,1132,0.22909880564603702
[12:00-15:00[,14,13,13,0,54,31,29,-0.06451612903225812,1809,1125,1266,0.1253333333333333,1877,1169,1308,0.1189050470487596
[15:00-18:00[,31,11,13,0.18181818181818188,87,61,80,0.3114754098360655,2509,1491,1772,0.18846411804158292,2627,1563,1865,0.19321817018554066
[18:00-21:00[,45,16,11,-0.3125,78,67,76,0.13432835820895517,2091,1333,1539,0.15453863465866458,2214,1416,1626,0.14830508474576276
[21:00-00:00[,13,10,11,0.10000000000000009,62,56,34,-0.3928571428571429,985,651,738,0.13364055299539168,1060,717,783,0.09205020920502083
Total,145,78,83,0.0641025641025641,418,311,364,0.17041800643086824,10667,6636,7717,0.16289933694996983,11230,7025,8164,0.16213523131672591
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
