Quadro 6.11 Condutores vítimas em Portugal por distrito e RA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e RA,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Aveiro,34,21,29,0.38095238095238093,80,80,116,0.44999999999999996,2356,1808,2055,0.1366150442477876,2470,1909,2200,0.1524358302776323
Beja,22,14,13,-0.0714285714285714,39,43,52,0.20930232558139528,345,273,285,0.04395604395604402,406,330,350,0.06060606060606055
Braga,29,20,26,0.30000000000000004,95,84,113,0.34523809523809534,2591,2014,2345,0.16434955312810318,2715,2118,2484,0.17280453257790374
Bragança,7,3,11,2.6666666666666665,24,24,29,0.20833333333333326,308,200,236,0.17999999999999994,339,227,276,0.2158590308370043
C. Branco,7,11,6,-0.4545454545454546,44,58,47,-0.18965517241379315,391,340,350,0.02941176470588225,442,409,403,-0.014669926650366705
Coimbra,25,18,16,-0.11111111111111116,53,57,59,0.03508771929824572,1353,1029,1197,0.16326530612244894,1431,1104,1272,0.15217391304347827
Évora,9,10,10,0,45,29,42,0.4482758620689655,341,265,294,0.10943396226415092,395,304,346,0.13815789473684204
Faro,29,20,23,0.1499999999999999,152,111,117,0.054054054054053946,1664,1200,1287,0.07250000000000001,1845,1331,1427,0.0721262208865514
Guarda,15,10,9,-0.09999999999999998,34,32,22,-0.3125,323,261,289,0.10727969348659006,372,303,320,0.05610561056105601
Leiria,26,22,36,0.6363636363636365,83,62,101,0.6290322580645162,1476,1082,1183,0.09334565619223656,1585,1166,1320,0.13207547169811318
Lisboa,40,46,52,0.13043478260869557,200,147,175,0.19047619047619047,6115,4319,4773,0.10511692521416993,6355,4512,5000,0.10815602836879434
Portalegre,15,9,6,-0.33333333333333337,34,25,38,0.52,234,173,188,0.08670520231213863,283,207,232,0.12077294685990347
Porto,35,35,36,0.02857142857142847,135,104,90,-0.13461538461538458,4791,3731,4045,0.08415974269632809,4961,3870,4171,0.07777777777777772
Santarém,27,35,18,-0.48571428571428577,146,106,127,0.19811320754716988,1293,959,1072,0.11783107403545356,1466,1100,1217,0.10636363636363644
Setúbal,22,31,30,-0.032258064516129004,109,87,109,0.2528735632183907,1908,1534,1741,0.13494132985658402,2039,1652,1880,0.13801452784503643
V. Castelo,8,15,15,0,34,37,55,0.4864864864864864,694,530,570,0.07547169811320753,736,582,640,0.09965635738831624
Vila Real,8,8,8,0,28,23,28,0.21739130434782616,520,437,447,0.022883295194507935,556,468,483,0.03205128205128216
Viseu,25,16,14,-0.125,56,55,54,-0.018181818181818188,1051,859,947,0.10244470314318965,1132,930,1015,0.09139784946236551
RA Açores,10,8,12,0.5,63,72,69,-0.04166666666666663,450,383,467,0.21932114882506526,523,463,548,0.18358531317494609
RA Madeira,10,5,8,0.6000000000000001,61,39,48,0.23076923076923084,672,541,648,0.19778188539741226,743,585,704,0.20341880341880336
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
