Quadro 6.12 Condutores vítimas em Portugal por situação da licença de condução,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Situação da Licença de Condução,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Caducada/ suspensa,4,3,2,-0.33333333333333337,6,11,8,-0.2727272727272727,117,80,87,0.08749999999999991,127,94,97,0.03191489361702127
Com licença/ carta adequada ao veiculo,337,306,312,0.019607843137254832,1256,1058,1224,0.15689981096408312,25913,19109,21211,0.11000052331362187,27506,20473,22747,0.1110731206955502
Com licença/ carta não adequada ao veiculo,11,9,11,0.22222222222222232,30,20,39,0.95,174,144,152,0.05555555555555558,215,173,202,0.16763005780346818
Em situação de instrução/exame,1,0,0,-,0,0,0,-,18,15,23,0.5333333333333334,19,15,23,0.5333333333333334
Não necessária ao veiculo que conduz,27,19,34,0.7894736842105263,118,121,144,0.1900826446280992,2114,2108,2492,0.18216318785578745,2259,2248,2670,0.18772241992882566
Sem licença/carta,16,15,17,0.1333333333333333,79,56,69,0.2321428571428572,283,322,317,-0.01552795031055898,378,393,403,0.025445292620865034
Sem licença/carta,7,5,2,-0.6,26,9,7,-0.2222222222222222,257,160,137,-0.14375000000000004,290,174,146,-0.16091954022988508
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
