Quadro 6.17 Condutores vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
<=14,1,2,3,0.5,9,15,18,0.19999999999999996,144,137,184,0.34306569343065685,154,154,205,0.3311688311688312
15_19,13,12,14,0.16666666666666674,66,64,99,0.546875,1759,1436,1460,0.01671309192200554,1838,1512,1573,0.04034391534391535
20_24,40,22,24,0.09090909090909083,138,148,163,0.10135135135135132,3459,2672,2988,0.11826347305389229,3637,2842,3175,0.1171710063335678
25_29,35,37,32,-0.1351351351351351,169,140,172,0.22857142857142865,3073,2451,2759,0.12566299469604236,3277,2628,2963,0.12747336377473362
30_34,30,28,20,-0.2857142857142857,155,110,149,0.3545454545454545,2789,2039,2374,0.16429622363903884,2974,2177,2543,0.16812126779972436
35_39,41,29,34,0.17241379310344818,163,128,128,0,2662,1940,2185,0.12628865979381443,2866,2097,2347,0.11921793037672868
40_44,37,32,26,-0.1875,160,133,130,-0.022556390977443663,2843,2139,2217,0.036465638148667656,3040,2304,2373,0.02994791666666674
45_49,37,35,38,0.08571428571428563,122,116,138,0.18965517241379315,2612,2088,2223,0.06465517241379315,2771,2239,2399,0.07146047342563655
50_54,26,23,28,0.21739130434782616,109,98,118,0.20408163265306123,2234,1675,2020,0.20597014925373136,2369,1796,2166,0.20601336302895312
55_59,20,25,39,0.56,99,86,110,0.2790697674418605,2021,1515,1659,0.09504950495049513,2140,1626,1808,0.11193111931119315
60_64,21,36,35,-0.02777777777777779,95,70,81,0.15714285714285725,1564,1182,1340,0.13367174280879857,1680,1288,1456,0.13043478260869557
65_69,28,20,16,-0.19999999999999996,73,54,59,0.09259259259259256,1163,888,984,0.10810810810810811,1264,962,1059,0.10083160083160081
70_74,28,17,20,0.17647058823529416,54,42,56,0.33333333333333326,990,682,785,0.15102639296187692,1072,741,861,0.16194331983805665
>=75,45,38,49,0.2894736842105263,97,71,70,-0.014084507042253502,1523,1086,1237,0.1390423572744015,1665,1195,1356,0.13472803347280338
n.d.,1,1,0,-1,6,0,0,-,40,8,4,-0.5,47,9,4,-0.5555555555555556
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
