Quadro 6.5 Condutores vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
[00:00-03:00[,27,20,19,-0.050000000000000044,108,59,84,0.423728813559322,1060,688,782,0.1366279069767442,1195,767,885,0.15384615384615374
[03:00-06:00[,16,11,13,0.18181818181818188,64,27,50,0.8518518518518519,606,363,425,0.1707988980716253,686,401,488,0.21695760598503733
[06:00-09:00[,40,32,30,-0.0625,136,91,86,-0.05494505494505497,3372,2272,2771,0.21963028169014076,3548,2395,2887,0.20542797494780785
[09:00-12:00[,47,50,51,0.020000000000000018,191,148,203,0.3716216216216217,4705,3707,4009,0.08146749393040187,4943,3905,4263,0.09167733674775924
[12:00-15:00[,50,49,59,0.20408163265306123,209,192,226,0.17708333333333326,5267,4151,4646,0.11924837388581055,5526,4392,4931,0.12272313296903459
[15:00-18:00[,82,67,85,0.26865671641791056,300,309,311,0.006472491909385036,5904,4466,5094,0.1406180026869681,6286,4842,5490,0.13382899628252787
[18:00-21:00[,91,73,70,-0.04109589041095896,327,288,367,0.2743055555555556,5523,4357,4708,0.08056001836125781,5941,4718,5145,0.09050445103857574
[21:00-00:00[,50,55,51,-0.07272727272727275,180,161,164,0.01863354037267073,2439,1934,1984,0.02585315408479838,2669,2150,2199,0.022790697674418547
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
