Quadro 1.1 Sinistralidade em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Jan,2953,1698,2334,0.3745583038869258,68,34,51,0.5,155,103,175,0.6990291262135921,3515,1905,2654,0.39317585301837266
Fev,2470,1184,2311,0.9518581081081081,48,17,37,1.176470588235294,140,73,152,1.0821917808219177,2937,1296,2656,1.049382716049383
Mar,2998,1844,2460,0.3340563991323211,46,31,42,0.35483870967741926,202,135,163,0.20740740740740748,3603,2086,2869,0.3753595397890699
Abr,2791,2229,2648,0.18797667115298333,71,30,34,0.1333333333333333,175,159,179,0.12578616352201255,3429,2545,3108,0.2212180746561887
Mai,3219,2782,3101,0.11466570812365195,55,55,67,0.21818181818181825,211,193,244,0.2642487046632125,3850,3267,3614,0.10621365166819707
Jun,2978,2863,2876,0.00454069158225634,48,48,49,0.02083333333333326,211,213,187,-0.1220657276995305,3613,3344,3391,0.014055023923444931
Jul,3397,3032,3418,0.12730870712401066,49,62,55,-0.11290322580645162,221,213,247,0.15962441314554,4147,3620,4002,0.105524861878453
Ago,3448,3185,3342,0.049293563579277944,75,68,76,0.11764705882352944,297,228,253,0.10964912280701755,4303,3880,4092,0.05463917525773199
Set,3216,2944,3180,0.08016304347826098,65,60,53,-0.1166666666666667,226,231,216,-0.06493506493506496,3887,3454,3718,0.07643312101910826
Out,3445,3259,3035,-0.0687327401043265,56,57,52,-0.08771929824561409,189,224,177,-0.2098214285714286,4095,3797,3524,-0.07189886752699504
Nov,3203,2879,2888,0.0031260854463355248,54,52,45,-0.13461538461538458,180,195,152,-0.2205128205128205,3814,3340,3358,0.005389221556886259
Dez,3133,2792,2683,-0.039040114613180465,53,47,57,0.2127659574468086,176,194,157,-0.19072164948453607,3741,3319,3128,-0.05754745405242545
Total,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
