Quadro 1.10 Sinistralidade em Portugal por distrito e RA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e RA,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Aveiro,2815,2387,2646,0.10850439882697938,42,43,40,-0.06976744186046513,135,147,170,0.15646258503401356,3362,2762,3127,0.13215061549601748
Beja,468,393,455,0.15776081424936383,37,19,22,0.1578947368421053,68,78,63,-0.1923076923076923,566,451,527,0.1685144124168514
Braga,3180,2767,2995,0.08239971087820752,45,45,42,-0.06666666666666665,153,173,128,-0.2601156069364162,3988,3321,3618,0.08943089430894302
Bragança,412,339,377,0.11209439528023601,8,15,11,-0.2666666666666667,48,45,51,0.1333333333333333,488,363,433,0.19283746556473824
C. Branco,527,468,517,0.10470085470085477,14,11,14,0.2727272727272727,66,63,42,-0.33333333333333337,628,524,611,0.166030534351145
Coimbra,1624,1417,1652,0.16584333098094572,40,21,34,0.6190476190476191,79,76,93,0.2236842105263157,1952,1654,1931,0.16747279322853692
Évora,444,391,441,0.12787723785166238,17,13,19,0.46153846153846145,71,54,53,-0.01851851851851849,545,443,500,0.12866817155756216
Faro,2154,1688,2035,0.20556872037914697,44,36,45,0.25,214,165,167,0.0121212121212122,2449,1827,2289,0.2528735632183907
Guarda,433,357,420,0.17647058823529416,19,9,12,0.33333333333333326,58,31,55,0.7741935483870968,509,400,497,0.24249999999999994
Leiria,1822,1448,1626,0.1229281767955801,45,41,43,0.04878048780487809,123,125,112,-0.10399999999999998,2132,1671,1908,0.14183123877917425
Lisboa,8232,6245,6835,0.09447558046437154,76,86,75,-0.12790697674418605,337,287,282,-0.017421602787456414,9820,7219,7936,0.09932123562820339
Portalegre,303,281,284,0.01067615658362997,17,9,13,0.4444444444444444,52,50,59,0.17999999999999994,365,294,314,0.06802721088435382
Porto,6245,5119,5719,0.11721039265481537,79,51,54,0.05882352941176472,205,154,221,0.43506493506493515,7738,6164,6726,0.09117456197274487
Santarém,1612,1319,1459,0.10614101592115244,41,34,37,0.08823529411764697,211,185,221,0.1945945945945946,1953,1535,1693,0.10293159609120517
Setúbal,2605,2259,2526,0.11819389110225753,32,45,55,0.22222222222222232,159,157,200,0.2738853503184713,3183,2724,2987,0.09654919236417037
V. Castelo,859,680,829,0.21911764705882364,18,23,18,-0.21739130434782605,53,69,64,-0.07246376811594202,1038,799,1007,0.26032540675844795
Vila Real,654,558,665,0.19175627240143367,14,12,22,0.8333333333333333,46,47,56,0.1914893617021276,863,683,808,0.18301610541727675
Viseu,1315,1101,1307,0.18710263396911908,38,19,35,0.8421052631578947,90,81,87,0.07407407407407418,1604,1360,1534,0.12794117647058822
RA Açores,611,600,613,0.021666666666666723,21,17,14,-0.17647058823529416,106,94,106,0.12765957446808507,686,681,683,0.002936857562408246
RA Madeira,936,874,875,0.0011441647597254523,41,12,13,0.08333333333333326,109,80,72,-0.09999999999999998,1065,978,985,0.007157464212679043
Total,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
