Quadro 1.3 Sinistralidade em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
[00:00-03:00[,1387,1001,1232,0.23076923076923084,43,35,44,0.2571428571428571,155,130,119,-0.08461538461538465,1656,1222,1467,0.20049099836333872
[03:00-06:00[,797,552,816,0.4782608695652173,26,18,39,1.1666666666666665,99,78,119,0.5256410256410255,937,639,939,0.46948356807511726
[06:00-09:00[,4157,3281,3755,0.14446814995428214,57,46,84,0.826086956521739,225,164,255,0.5548780487804879,4975,3911,4401,0.12528765021733568
[09:00-12:00[,6047,5112,5502,0.07629107981220651,83,79,82,0.03797468354430378,294,291,274,-0.05841924398625431,7098,5884,6294,0.06968048946295036
[12:00-15:00[,6561,5679,6181,0.088395844338792,78,88,88,0,326,294,320,0.08843537414965996,7969,6553,7184,0.09629177475965212
[15:00-18:00[,7745,6529,7159,0.09649257160361469,142,122,112,-0.08196721311475408,464,472,480,0.016949152542372836,9561,7696,8498,0.10420997920997932
[18:00-21:00[,7463,6087,6809,0.11861343847543937,181,107,115,0.07476635514018692,534,512,503,-0.017578125,8971,7029,8010,0.13956466069142115
[21:00-00:00[,3094,2450,2822,0.1518367346938776,78,66,54,-0.18181818181818177,286,220,232,0.05454545454545445,3767,2919,3321,0.13771839671120256
Total,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
