Quadro 1.6 Sinistralidade em Portugal por natureza do acidente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Natureza,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Atropelamento,5565,3905,4682,0.1989756722151088,134,96,105,0.09375,427,298,346,0.1610738255033557,5513,3836,4597,0.1983837330552658
Colisão,19518,16193,17722,0.09442351633421842,265,221,254,0.1493212669683257,1012,952,996,0.04621848739495804,25880,20591,22622,0.09863532611335057
Despiste,12168,10593,11872,0.12074011139431695,289,244,259,0.061475409836065475,944,911,960,0.053787047200878124,13541,11426,12895,0.1285664274461753
Total,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
