Quadro 2.2 Veículos intervenientes em acidentes com vítimas em Portugal por categoria e idade do veículo,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,
,2019,2021,2022,2019,2021,2022,2019,2021,2022,2019,2021,2022,2019,2021,2022,2019,2021,2022,2019,2021,2022,2019,2021,2022
Veículo ligeiro ,7963,5890,6081,7072,5711,7043,9078,6537,6714,9960,7087,7580,7697,7073,7643,3408,3530,4619,487,210,243,45665,36038,39923
Veículo pesado ,325,273,384,342,257,325,423,324,283,322,271,261,169,152,168,74,78,84,24,4,7,1679,1359,1512
Ciclomotor,464,352,319,311,245,256,669,463,295,205,159,251,281,205,190,559,514,582,17,7,6,2506,1945,1899
Motociclo cilindrada <= 125cc ,2057,2041,2155,1211,1037,1288,500,626,714,229,176,234,232,179,196,206,193,269,16,18,12,4451,4270,4868
Motociclo cilindrada > 125cc ,1007,972,1093,405,423,539,483,385,347,472,425,483,420,392,457,285,287,361,15,10,7,3087,2894,3287
Velocípede,207,306,377,57,55,50,11,22,23,14,6,3,3,22,17,5,4,7,2134,2422,2597,2431,2837,3074
Quadriciclo ,55,51,45,54,32,34,144,87,81,76,73,89,18,34,51,0,7,10,0,0,1,347,284,311
Triciclo ,22,4,9,10,6,23,8,4,6,3,0,5,2,5,0,1,3,2,1,1,0,47,23,45
Veículo agrícola ,55,57,48,20,21,10,20,13,19,35,19,17,22,26,22,60,71,61,4,1,1,216,208,178
Outros* ,48,41,28,8,12,9,2,3,4,3,0,0,3,2,4,2,4,4,277,265,288,343,327,337
Total ,12203,9987,10539,9490,7799,9577,11338,8464,8486,11319,8216,8923,8847,8090,8748,4600,4691,5999,2975,2938,3162,60772,50185,55434
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,
,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21,∆(%) 21/19,∆(%) 22/19,∆(%) 22/21
Veículo ligeiro ,-0.26032902172548034,-0.23634308677634053,0.03242784380305608,-0.19244909502262442,-0.00410067873303166,0.23323410961302748,-0.2799074686054197,-0.2604097818902842,0.02707664066085358,-0.2884538152610442,-0.23895582329317266,0.06956399040496675,-0.08107054696635052,-0.007015720410549542,0.08058815212781001,0.035798122065727744,0.3553403755868545,0.3084985835694052,-0.568788501026694,-0.5010266940451745,0.15714285714285725,-0.2108179130625205,-0.1257418153947224,0.1078028747433264
Veículo pesado ,-0.16000000000000003,0.18153846153846165,0.4065934065934067,-0.2485380116959064,-0.049707602339181256,0.2645914396887159,-0.23404255319148937,-0.33096926713947994,-0.12654320987654322,-0.15838509316770188,-0.18944099378881984,-0.03690036900369009,-0.10059171597633132,-0.00591715976331364,0.10526315789473695,0.054054054054053946,0.1351351351351351,0.07692307692307687,-0.8333333333333334,-0.7083333333333333,0.75,-0.19058963668850504,-0.09946396664681356,0.11258278145695355
Ciclomotor,-0.24137931034482762,-0.3125,-0.09375,-0.21221864951768488,-0.17684887459807075,0.044897959183673564,-0.3079222720478326,-0.5590433482810164,-0.36285097192224625,-0.224390243902439,0.224390243902439,0.578616352201258,-0.2704626334519573,-0.3238434163701067,-0.07317073170731703,-0.0805008944543828,0.041144901610017826,0.13229571984435795,-0.5882352941176471,-0.6470588235294117,-0.1428571428571429,-0.22386272944932162,-0.24221867517956908,-0.023650385604113144
Motociclo cilindrada <= 125cc ,-0.007778317938745727,0.047642197374817785,0.05585497305242537,-0.143682906688687,0.06358381502890165,0.2420443587270973,0.252,0.42799999999999994,0.14057507987220452,-0.23144104803493448,0.02183406113537112,0.3295454545454546,-0.22844827586206895,-0.15517241379310343,0.0949720670391061,-0.06310679611650483,0.3058252427184467,0.3937823834196892,0.125,-0.25,-0.33333333333333337,-0.04066501909683218,0.09368681195237016,0.1400468384074942
Motociclo cilindrada > 125cc ,-0.0347567030784508,0.08540218470705074,0.12448559670781889,0.04444444444444451,0.33086419753086416,0.2742316784869976,-0.2028985507246377,-0.2815734989648033,-0.09870129870129873,-0.09957627118644063,0.02330508474576276,0.13647058823529412,-0.06666666666666665,0.088095238095238,0.1658163265306123,0.007017543859649145,0.2666666666666666,0.2578397212543555,-0.33333333333333337,-0.5333333333333333,-0.30000000000000004,-0.06252024619371555,0.0647878198898606,0.13579820317899105
Velocípede,0.4782608695652173,0.8212560386473431,0.23202614379084974,-0.03508771929824561,-0.1228070175438597,-0.09090909090909094,1,1.0909090909090908,0.045454545454545414,-0.5714285714285714,-0.7857142857142857,-0.5,6.333333333333333,4.666666666666667,-0.2272727272727273,-0.19999999999999996,0.3999999999999999,0.75,0.13495782567947523,0.21696344892221187,0.07225433526011571,0.16700946112710824,0.2645002056766763,0.08353894959464214
Quadriciclo ,-0.07272727272727275,-0.18181818181818177,-0.11764705882352944,-0.40740740740740744,-0.37037037037037035,0.0625,-0.39583333333333337,-0.4375,-0.06896551724137934,-0.03947368421052633,0.17105263157894735,0.2191780821917808,0.8888888888888888,1.8333333333333335,0.5, - , -,0.4285714285714286, - , - , - ,-0.18155619596541783,-0.10374639769452454,0.09507042253521125
Triciclo ,-0.8181818181818181,-0.5909090909090908,1.25,-0.4,1.2999999999999998,2.8333333333333335,-0.5,-0.25,0.5,-1,0.6666666666666667, - ,1.5,-1,-1,2,1,-0.33333333333333337,0,-1,-1,-0.5106382978723405,-0.04255319148936165,0.9565217391304348
Veículo agrícola ,0.036363636363636376,-0.12727272727272732,-0.1578947368421053,0.050000000000000044,-0.5,-0.5238095238095238,-0.35,-0.050000000000000044,0.46153846153846145,-0.4571428571428572,-0.5142857142857142,-0.10526315789473684,0.18181818181818188,0,-0.15384615384615385,0.18333333333333335,0.016666666666666607,-0.14084507042253525,-0.75,-0.75,0,-0.03703703703703709,-0.17592592592592593,-0.14423076923076927
Outros* ,-0.14583333333333337,-0.41666666666666663,-0.31707317073170727,0.5,0.125,-0.25,0.5,1,0.33333333333333326,-1,-1, - ,-0.33333333333333337,0.33333333333333326,1,1,1,0,-0.04332129963898912,0.03971119133573997,0.08679245283018866,-0.04664723032069973,-0.017492711370262426,0.030581039755351647
Total ,-0.18159468983036953,-0.13635991149717286,0.0552718534094323,-0.1781875658587987,0.009167544783983184,0.2279779458904987,-0.25348385958722874,-0.25154348209560773,0.0025992438563327003,-0.2741408251612333,-0.2116794769855994,0.0860516066212269,-0.08556572849553523,-0.011190233977619535,0.08133498145859086,0.01978260869565207,0.3041304347826086,0.2788318055851631,-0.012436974789916011,0.06285714285714294,0.07624234172906741,-0.17420851708023433,-0.08783650365299811,0.10459300587825049
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
