"Quadro 3.3 Vítimas mortais em Portugal por veículo, segundo o principal outro veículo no acidente, 2022",,,,,,,,,,,
,,,,,,,,,,,
"Veículo alvo de 
colisão e peões",Veic. ligeiro de passageiros,Veic. ligeiro de mercadorias,Veic. pesado de passageiros,Veic. pesado de mercadorias,Velocípede,Ciclomotor,Motociclo,Peões,Outros*,Nenhum,Total
"Veículo da 
VM e peões",,,,,,,,,,,
Veic. ligeiro de passageiros,61,13,2,23,0,0,1,0,3,108,211
Veic. ligeiro de mercadorias,7,10,0,13,0,0,0,0,0,31,61
Veic. pesado de passageiros,0,1,0,0,0,0,0,0,0,3,4
Veic. pesado de mercadorias,0,0,0,3,0,0,0,0,0,9,12
Velocípede,10,4,2,1,0,0,0,0,2,12,31
Ciclomotor,10,7,1,3,0,0,1,0,3,10,35
Motociclo,55,15,1,3,1,0,0,0,2,63,140
Peões,68,21,0,9,0,0,1,-,8,-,107
Outros*,2,0,0,0,0,0,0,0,0,15,17
Total,213,71,6,55,1,0,3,0,18,251,618
"*Inclui veículos de tração animal, sobre carris, especiais, ligeiros e pesados sem especificação adicional, máquinas industriais, desconhecido e ainda não definidos",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
