Quadro 4.10 Peões vítimas em Portugal por distrito e RA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e RA,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Aveiro,5,7,7,0,27,13,24,0.8461538461538463,283,193,238,0.23316062176165797,315,213,269,0.26291079812206575
Beja,2,1,9,8,9,6,10,0.6666666666666667,35,26,30,0.15384615384615374,46,33,49,0.48484848484848486
Braga,11,9,9,0,35,28,21,-0.25,417,292,392,0.34246575342465757,463,329,422,0.2826747720364742
Bragança,1,2,0,-1,11,7,9,0.2857142857142858,51,33,36,0.09090909090909083,63,42,45,0.0714285714285714
C. Branco,1,4,3,-0.25,10,8,2,-0.75,59,42,52,0.23809523809523814,70,54,57,0.05555555555555558
Coimbra,7,2,2,0,16,6,11,0.8333333333333333,164,108,148,0.37037037037037046,187,116,161,0.3879310344827587
Évora,3,2,2,0,8,2,3,0.5,38,34,45,0.32352941176470584,49,38,50,0.3157894736842106
Faro,11,8,10,0.25,27,25,22,-0.12,242,183,251,0.3715846994535519,280,216,283,0.3101851851851851
Guarda,1,0,2,-,6,4,9,1.25,43,26,33,0.26923076923076916,50,30,44,0.46666666666666656
Leiria,11,2,6,2,18,10,12,0.19999999999999996,184,107,167,0.5607476635514019,213,119,185,0.5546218487394958
Lisboa,25,23,13,-0.4347826086956522,103,70,61,-0.12857142857142856,1615,1038,1248,0.20231213872832376,1743,1131,1322,0.16887709991158273
Portalegre,1,2,0,-1,5,4,2,-0.5,27,29,21,-0.27586206896551724,33,35,23,-0.34285714285714286
Porto,26,9,18,1,43,39,51,0.3076923076923077,1093,839,922,0.098927294398093,1162,887,991,0.11724915445321304
Santarém,5,9,2,-0.7777777777777778,24,12,22,0.8333333333333333,152,77,125,0.6233766233766234,181,98,149,0.5204081632653061
Setúbal,7,5,10,1,29,29,39,0.3448275862068966,455,342,379,0.10818713450292394,491,376,428,0.13829787234042556
V. Castelo,8,3,2,-0.33333333333333337,9,6,5,-0.16666666666666663,94,47,70,0.4893617021276595,111,56,77,0.375
Vila Real,5,3,2,-0.33333333333333337,13,5,9,0.8,80,60,55,-0.08333333333333337,98,68,66,-0.02941176470588236
Viseu,4,2,8,3,16,13,11,-0.15384615384615385,148,83,104,0.2530120481927711,168,98,123,0.2551020408163265
RA Açores,1,3,1,-0.6666666666666667,17,7,12,0.7142857142857142,134,96,104,0.08333333333333326,152,106,117,0.10377358490566047
RA Madeira,5,4,1,-0.75,24,12,15,0.25,77,62,72,0.16129032258064524,106,78,88,0.1282051282051282
Total,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
