Quadro 4.11 Peões vítimas em Portugal por ação do peão,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ação,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Em plena faixa de rodagem,48,30,33,0.10000000000000009,78,38,61,0.605263157894737,585,456,505,0.10745614035087714,711,524,599,0.14312977099236646
Atravessando em passagem sinalizada,21,22,23,0.045454545454545414,145,105,122,0.161904761904762,2481,1606,2038,0.2689912826899128,2647,1733,2183,0.259665320253895
Transitando pela berma ou passeio,22,13,9,-0.3076923076923077,40,30,40,0.33333333333333326,487,364,471,0.293956043956044,549,407,520,0.27764127764127755
Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem,19,8,16,1,55,27,29,0.07407407407407418,401,269,288,0.07063197026022294,475,304,333,0.09539473684210531
"Atravessando fora da passagem de peões, a menos de 50m de uma passagem",8,7,11,0.5714285714285714,44,40,39,-0.025000000000000022,541,392,449,0.14540816326530615,593,439,499,0.13667425968109348
A sair ou entrar num veículo,3,4,1,-0.75,17,11,20,0.8181818181818181,153,115,157,0.3652173913043477,173,130,178,0.36923076923076925
Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo,7,4,2,-0.5,30,24,21,-0.125,297,185,217,0.17297297297297298,334,213,240,0.12676056338028174
Transitando pela esquerda da faixa de rodagem,1,4,2,-0.5,8,4,4,0,68,55,50,-0.09090909090909094,77,63,56,-0.11111111111111116
Transitando pela direita da faixa de rodagem,6,3,8,1.6666666666666665,14,8,4,-0.5,131,108,110,0.0185185185185186,151,119,122,0.025210084033613356
Atravessando em passagem sinalizada com desrespeito da sinalização semafórica,2,2,0,-1,6,7,6,-0.1428571428571429,111,59,87,0.47457627118644075,119,68,93,0.36764705882352944
Em trabalhos na via,1,2,1,-0.5,9,7,3,-0.5714285714285714,59,49,48,-0.020408163265306145,69,58,52,-0.10344827586206895
Em ilhéu ou refúgio na via,1,0,1,-,4,4,1,-0.75,49,35,45,0.2857142857142858,54,39,47,0.20512820512820507
n.d.,1,1,0,-1,0,1,0,1,28,24,27,0.125,29,26,27,0.03846153846153855
Total,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
