Quadro 4.9 Peões vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
AE,6,6,3,-0.5,7,5,8,0.6000000000000001,18,5,15,2,31,16,26,0.625
Arruamento,91,60,57,-0.050000000000000044,347,237,276,0.16455696202531644,4957,3332,4015,0.20498199279711882,5395,3629,4348,0.1981262055662718
EM,3,5,8,0.6000000000000001,10,6,6,0,31,24,30,0.25,44,35,44,0.2571428571428571
EN,27,21,30,0.4285714285714286,53,43,39,-0.09302325581395354,255,202,275,0.3613861386138615,335,266,344,0.29323308270676685
ER,4,2,1,-0.5,4,3,5,0.6666666666666667,18,17,19,0.11764705882352944,26,22,25,0.13636363636363646
IC,7,3,3,0,8,5,5,0,8,11,13,0.18181818181818188,23,19,21,0.10526315789473695
IP,0,0,2,-,0,0,2,-,0,1,2,1,0,1,6,5
Outras vias*,2,3,3,0,21,7,9,0.2857142857142858,104,125,123,-0.016000000000000014,127,135,135,0
Total,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388
" * Inclui acessos, estradas florestais, pontes, variantes e não definidas ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
