Quadro 5.11 Passageiros vítimas em Portugal por distrito e RA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e RA,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Aveiro,3,7,7,0,28,18,37,1.0555555555555554,723,514,625,0.215953307392996,754,539,669,0.2411873840445269
Beja,13,5,3,-0.4,20,20,11,-0.44999999999999996,186,140,149,0.06428571428571428,219,165,163,-0.012121212121212088
Braga,5,10,6,-0.4,23,32,12,-0.625,980,684,754,0.10233918128654973,1008,726,772,0.06336088154269981
Bragança,0,2,2,0,13,9,16,0.7777777777777777,129,94,110,0.17021276595744683,142,105,128,0.21904761904761916
C. Branco,6,1,5,4,12,8,8,0,178,132,150,0.13636363636363646,196,141,163,0.15602836879432624
Coimbra,8,3,4,0.33333333333333326,10,11,22,1,435,349,384,0.10028653295128942,453,363,410,0.12947658402203865
Évora,5,1,3,2,18,10,13,0.30000000000000004,166,115,134,0.16521739130434776,189,126,150,0.19047619047619047
Faro,4,5,8,0.6000000000000001,35,23,29,0.26086956521739135,543,357,446,0.24929971988795518,582,385,483,0.25454545454545463
Guarda,3,0,2,-,18,5,12,1.4,143,85,126,0.48235294117647065,164,90,140,0.5555555555555556
Leiria,8,3,5,0.6666666666666667,22,14,15,0.0714285714285714,472,381,420,0.10236220472440949,502,398,440,0.10552763819095468
Lisboa,11,11,16,0.4545454545454546,34,42,42,0,2090,1408,1521,0.08025568181818188,2135,1461,1579,0.08076659822039689
Portalegre,1,1,2,1,13,8,16,1,104,77,84,0.09090909090909083,118,86,102,0.18604651162790709
Porto,18,6,8,0.33333333333333326,27,25,20,-0.19999999999999996,1854,1280,1343,0.04921875000000009,1899,1311,1371,0.04576659038901609
Santarém,9,7,13,0.8571428571428572,41,46,53,0.15217391304347827,508,386,417,0.08031088082901561,558,439,483,0.10022779043280172
Setúbal,3,10,6,-0.4,21,19,32,0.6842105263157894,820,641,729,0.13728549141965685,844,670,767,0.14477611940298507
V. Castelo,2,5,4,-0.19999999999999996,10,8,12,0.5,250,182,250,0.37362637362637363,262,195,266,0.36410256410256414
Vila Real,1,1,4,3,5,14,14,0,263,176,202,0.1477272727272727,269,191,220,0.1518324607329844
Viseu,9,3,7,1.3333333333333335,18,14,20,0.4285714285714286,405,330,334,0.0121212121212122,432,347,361,0.04034582132564846
RA Açores,6,1,0,-1,23,25,23,-0.07999999999999996,180,171,183,0.07017543859649122,209,197,206,0.045685279187817285
RA Madeira,30,1,2,1,27,13,7,-0.46153846153846156,238,215,212,-0.013953488372092981,295,229,221,-0.03493449781659386
Total,145,83,107,0.28915662650602414,418,364,414,0.13736263736263732,10667,7717,8573,0.11092393417131019,11230,8164,9094,0.11391474767270937
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
