Quadro 6.15 Condutores vítimas em Portugal por sexo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sexo,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Feminino,37,39,31,-0.20512820512820518,182,192,223,0.16145833333333326,9279,7259,8197,0.12921890067502417,9498,7490,8451,0.12830440587449932
Masculino,365,339,373,0.10029498525073755,1329,1299,1315,0.012317167051578037,19582,17155,18851,0.0988633051588459,21276,18793,20539,0.0929069334326611
n.d.,1,0,0,-,4,0,0,-,15,5,1,-0.8,20,5,1,-0.8
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
