Quadro 6.4 Condutores vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Segunda-Feira,51,43,55,0.2790697674418605,160,182,182,0,4140,3565,3915,0.09817671809256656,4351,3790,4152,0.09551451187335092
Terça-Feira,46,50,43,-0.14,201,190,178,-0.06315789473684208,4225,3508,3869,0.1029076396807298,4472,3748,4090,0.09124866595517611
Quarta-Feira,41,52,49,-0.05769230769230771,169,194,193,-0.005154639175257714,4162,3638,3899,0.07174271577790003,4372,3884,4141,0.06616889804325443
Quinta-Feira,60,43,52,0.20930232558139528,186,184,182,-0.010869565217391353,4305,3522,3893,0.10533787620670076,4551,3749,4127,0.10082688716991206
Sexta-Feira,61,66,64,-0.030303030303030276,233,246,217,-0.11788617886178865,4476,3970,4284,0.07909319899244327,4770,4282,4565,0.06609061186361509
Sábado,71,61,69,0.13114754098360648,299,252,296,0.17460317460317465,4047,3282,3825,0.1654478976234004,4417,3595,4190,0.16550764951321284
Domingo,73,63,72,0.1428571428571428,267,243,290,0.1934156378600822,3521,2934,3364,0.14655760054533062,3861,3240,3726,0.1499999999999999
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
