Quadro 1.7 Sinistralidade em Portugal por natureza detalhada do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Natureza,,AcV,,,,VM,,,,FG,,,,FL,,,
,,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Atropelamento,Atropelamento com fuga,495,511,532,0.041095890410958846,11,13,11,-0.15384615384615385,36,28,34,0.2142857142857142,468,491,514,0.046843177189409335
,Atropelamento de animais,71,126,116,-0.07936507936507942,1,1,0,-1,0,5,4,-0.19999999999999996,75,133,119,-0.10526315789473684
,Atropelamento de peões,4999,4045,4225,0.04449938195302838,122,91,95,0.04395604395604402,391,313,308,-0.015974440894568676,4970,3973,4154,0.04555751321419588
,Total,5565,4682,4873,0.04079453225117469,134,105,106,0.00952380952380949,427,346,346,0,5513,4597,4787,0.04133130302371102
Colisão,Colisão choque em cadeia,723,594,665,0.1195286195286196,6,3,5,0.6666666666666667,14,4,15,2.75,1174,923,1081,0.17118093174431204
,Colisão com fuga,631,641,689,0.07488299531981268,3,2,5,1.5,30,37,28,-0.2432432432432432,739,709,757,0.06770098730606477
,Colisão com outras situações,3269,2252,2384,0.05861456483126104,33,21,22,0.04761904761904767,136,95,122,0.28421052631578947,4214,2750,2886,0.04945454545454542
,Colisão com veiculo ou obstáculo na faixa de rodagem,1067,1285,1412,0.09883268482490282,13,25,20,-0.19999999999999996,57,79,95,0.20253164556962022,1323,1507,1743,0.15660252156602517
,Colisão frontal,2834,2484,2779,0.11876006441223841,110,100,111,0.1100000000000001,326,361,368,0.01939058171745156,4271,3655,4084,0.11737346101231183
,Colisão lateral com outro veículo em movimento,6714,6618,7231,0.09262617104865511,63,78,64,-0.17948717948717952,298,293,400,0.3651877133105803,8460,8132,8683,0.06775700934579443
,Colisão traseira com outro veículo em movimento,4280,3848,4078,0.05977130977130973,37,25,33,0.32000000000000006,151,127,124,-0.023622047244094446,5699,4946,5331,0.0778406793368378
,Total,19518,17722,19238,0.08554339239363506,265,254,260,0.023622047244094446,1012,996,1152,0.15662650602409633,25880,22622,24565,0.085889841746972
Despiste,Despiste com capotamento,2060,2177,2161,-0.007349563619660104,105,75,65,-0.1333333333333333,225,217,205,-0.055299539170506895,2554,2535,2589,0.02130177514792897
,Despiste com colisão com veículo imobil. ou obstáculo,1193,1454,1583,0.08872077028885839,31,44,52,0.18181818181818188,106,144,152,0.05555555555555558,1336,1599,1718,0.07442151344590364
,Despiste com dispositivo de retenção,570,454,468,0.03083700440528636,1,9,9,0,21,27,39,0.4444444444444444,630,543,519,-0.04419889502762431
,Despiste com fuga,101,98,133,0.3571428571428572,0,1,5,4,19,4,7,0.75,111,116,143,0.23275862068965525
,Despiste com transposição do dispositivo de retenção lateral,189,183,173,-0.05464480874316935,13,11,9,-0.18181818181818177,18,33,25,-0.24242424242424243,227,195,191,-0.02051282051282055
,Despiste sem dispositivo de retenção,1892,1857,1949,0.04954227248249876,20,13,21,0.6153846153846154,100,86,98,0.13953488372093026,1975,1927,2020,0.0482615464452516
,Despiste simples,6163,5649,6017,0.06514427332271189,119,106,115,0.08490566037735858,455,449,476,0.060133630289532336,6708,5980,6341,0.06036789297658873
,Total,12168,11872,12484,0.051549865229110425,289,259,276,0.06563706563706573,944,960,1002,0.043749999999999956,13541,12895,13521,0.04854594804187662
Total,,37251,34276,36595,0.0676566693896603,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
