,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 15. Sinistralidade no Continente por distrito,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,,,,,,,,,,,,,,
Aveiro,2646,2868,0.08390022675736963,34,33,-0.02941176470588236,176,200,0.13636363636363646,3127,3338,0.06747681483850343,,,,,,,,,,,,,,
Beja,455,486,0.06813186813186811,21,26,0.23809523809523814,64,85,0.328125,527,570,0.0815939278937381,,,,,,,,,,,,,,
Braga,2995,3291,0.09883138564273786,30,35,0.16666666666666674,137,193,0.4087591240875912,3621,3954,0.09196354598177292,,,,,,,,,,,,,,
Bragança,377,394,0.04509283819628651,6,3,-0.5,56,50,-0.1071428571428571,433,473,0.09237875288683606,,,,,,,,,,,,,,
C. Branco,517,565,0.09284332688588015,10,20,1,46,76,0.6521739130434783,611,660,0.08019639934533562,,,,,,,,,,,,,,
Coimbra,1652,1601,-0.03087167070217922,24,23,-0.04166666666666663,103,94,-0.08737864077669899,1931,1857,-0.038322112894873084,,,,,,,,,,,,,,
Évora,441,458,0.038548752834467015,13,10,-0.23076923076923073,59,78,0.3220338983050848,500,532,0.06400000000000006,,,,,,,,,,,,,,
Faro,2035,2149,0.05601965601965597,37,32,-0.1351351351351351,174,193,0.10919540229885061,2290,2403,0.04934497816593897,,,,,,,,,,,,,,
Guarda,420,440,0.04761904761904767,11,11,0,56,54,-0.0357142857142857,497,527,0.06036217303822933,,,,,,,,,,,,,,
Leiria,1626,1802,0.1082410824108242,34,32,-0.05882352941176472,121,157,0.2975206611570247,1908,2117,0.10953878406708606,,,,,,,,,,,,,,
Lisboa,6835,7245,0.059985369422092205,58,45,-0.22413793103448276,298,311,0.043624161073825496,7937,8459,0.0657679223888119,,,,,,,,,,,,,,
Portalegre,284,331,0.16549295774647876,12,16,0.33333333333333326,60,44,-0.2666666666666667,314,389,0.23885350318471343,,,,,,,,,,,,,,
Porto,5719,6108,0.06801888442035331,41,50,0.2195121951219512,234,225,-0.038461538461538436,6726,7265,0.08013678263455248,,,,,,,,,,,,,,
Santarém,1459,1593,0.09184372858121992,27,30,0.11111111111111116,231,229,-0.008658008658008698,1693,1792,0.058476077968103946,,,,,,,,,,,,,,
Setúbal,2526,2777,0.09936658749010285,46,50,0.08695652173913038,208,200,-0.038461538461538436,2988,3335,0.11613119143239614,,,,,,,,,,,,,,
V. Castelo,829,843,0.016887816646562026,16,17,0.0625,65,74,0.1384615384615384,1008,1003,-0.004960317460317443,,,,,,,,,,,,,,
Vila Real,665,665,0,18,19,0.05555555555555558,59,64,0.0847457627118644,809,778,-0.03831891223733008,,,,,,,,,,,,,,
Viseu,1307,1358,0.039020657995409325,24,15,-0.375,96,110,0.14583333333333326,1536,1606,0.04557291666666674,,,,,,,,,,,,,,
Total,32788,34974,0.06667073319507133,462,467,0.010822510822510845,2243,2437,0.08649130628622381,38456,41058,0.0676617432910338,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
