Quadro 2.3 Veículos intervenientes em acidentes com vítimas em Portugal por NUTS I e categoria de veículo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NUTS I e categoria de veículo ,Veículos intervenientes ,,,,,,,,,,,,,,,,,,
,2019,2022,2023,2023 (%) ,∆(%) 23/22 ,∆(%) 23/19,,,,,,,,,,,,,
Continente,58300,53046,57041,1,0.07531199336424987,-0.021595197255574572,,,,,,,,,,,,,
Veículo ligeiro,43934,38290,40663,0.7128731964727126,0.06197440585009151,-0.07445258797286836,,,,,,,,,,,,,
Veículo pesado,1620,1453,1533,0.02687540541014358,0.055058499655884274,-0.0537037037037037,,,,,,,,,,,,,
Ciclomotor,2378,1797,1784,0.031275749022632846,-0.0072342793544797335,-0.24978973927670312,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,4155,4536,5199,0.09114496590171982,0.14616402116402116,0.2512635379061372,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,2946,3139,3737,0.06551427920267877,0.19050653074227464,0.26849966055668695,,,,,,,,,,,,,
Velocípede,2344,2995,3239,0.056783716975508845,0.08146911519198663,0.381825938566553,,,,,,,,,,,,,
Quadriciclo,326,291,262,0.004593187356462895,-0.09965635738831613,-0.19631901840490795,,,,,,,,,,,,,
Triciclo,47,43,40,0.0007012499780859382,-0.06976744186046513,-0.14893617021276595,,,,,,,,,,,,,
Veículo agrícola,212,167,189,0.003313406146456058,0.1317365269461077,-0.10849056603773588,,,,,,,,,,,,,
Outros*,338,335,395,0.006924843533598639,0.17910447761194037,0.16863905325443795,,,,,,,,,,,,,
R.A. Açores,961,962,1013,1,0.053014553014552934,0.054110301768990565,,,,,,,,,,,,,
Veículo ligeiro,719,711,776,0.7660414610069102,0.09142053445850906,0.07927677329624472,,,,,,,,,,,,,
Veículo pesado,15,15,15,0.014807502467917079,0,0,,,,,,,,,,,,,
Ciclomotor,78,72,63,0.06219151036525173,-0.125,-0.1923076923076923,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,56,62,45,0.044422507403751234,-0.27419354838709675,-0.1964285714285714,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,32,38,48,0.04738400789733465,0.26315789473684204,0.5,,,,,,,,,,,,,
Velocípede,44,34,48,0.04738400789733465,0.41176470588235303,0.09090909090909083,,,,,,,,,,,,,
Quadriciclo,11,16,11,0.01085883514313919,-0.3125,0,,,,,,,,,,,,,
Triciclo,0,1,0,0,-1,-,,,,,,,,,,,,,
Veículo agrícola,4,11,5,0.004935834155972359,-0.5454545454545454,0.25,,,,,,,,,,,,,
Outros*,2,2,2,0.0019743336623889436,0,0,,,,,,,,,,,,,
R.A. Madeira,1511,1426,1646,1,0.15427769985974749,0.08934480476505624,,,,,,,,,,,,,
Veículo ligeiro,1012,922,1102,0.669501822600243,0.1952277657266812,0.0889328063241106,,,,,,,,,,,,,
Veículo pesado,44,44,44,0.026731470230862697,0,0,,,,,,,,,,,,,
Ciclomotor,50,30,38,0.023086269744835967,0.2666666666666666,-0.24,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,240,270,276,0.16767922235722965,0.022222222222222143,0.1499999999999999,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,109,110,137,0.08323207776427703,0.24545454545454537,0.25688073394495414,,,,,,,,,,,,,
Velocípede,43,45,42,0.02551640340218712,-0.06666666666666665,-0.023255813953488413,,,,,,,,,,,,,
Quadriciclo,10,4,4,0.002430133657351154,0,-0.6,,,,,,,,,,,,,
Triciclo,0,1,1,0.0006075334143377885,0,-,,,,,,,,,,,,,
Veículo agrícola,0,0,1,0.0006075334143377885,-,-,,,,,,,,,,,,,
Outros*,3,0,1,0.0006075334143377885,-,-0.6666666666666667,,,,,,,,,,,,,
Portugal,60772,55434,59700,-,0.07695638056066678,-0.01763970249456992,,,,,,,,,,,,,
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,
