,,,,,,,,,,,,,,,,,,
"Quadro 21. Vítimas mortais por entidade gestora de via (EGV), resumo janeiro a dezembro 2023",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tipo de Gestão,Entidade Gestora,N.º VM / EGV,"Total 
VM",%,,,,,,,,,,,,,,
"Concessionária
da Rede Rodoviária Nacional",Infraestruturas Portugal,211,211,0.4518201284796574,,,,,,,,,,,,,,
" Concessionárias 
do Estado",Brisa,25,25,0.05353319057815846,,,,,,,,,,,,,,
,Ascendi,7,7,0.014989293361884369,,,,,,,,,,,,,,
,Concessão Norte Litoral,3,3,0.006423982869379015,,,,,,,,,,,,,,
,Globalvia (Beira Interior),2,2,0.004282655246252677,,,,,,,,,,,,,,
,Lusoponte,2,2,0.004282655246252677,,,,,,,,,,,,,,
,Concessão Algarve,1,1,0.0021413276231263384,,,,,,,,,,,,,,
,Concessão Douro Litoral,1,1,0.0021413276231263384,,,,,,,,,,,,,,
,Concessão Oeste,1,1,0.0021413276231263384,,,,,,,,,,,,,,
,total, - ,42,0.08993576017130621,,,,,,,,,,,,,,
Gestão Municipal,"Coimbra, Loulé",9,18,0.03854389721627409,,,,,,,,,,,,,,
,Castelo Branco,7,7,0.014989293361884369,,,,,,,,,,,,,,
,Lisboa,5,5,0.010706638115631691,,,,,,,,,,,,,,
,"Guimarães, Marinha Grande, Porto, Salvaterra de Magos",4,16,0.034261241970021415,,,,,,,,,,,,,,
,"Alcobaça, Ansião, Aveiro, Braga, Leiria, Ourém, Palmela, Penafiel, Sesimbra, Sintra, Trofa, Viana do Castelo, Vila Nova de Famalicão, Vila Nova de Gaia",3,42,0.08993576017130621,,,,,,,,,,,,,,
,"Abrantes, Alcoutim, Almada, Almeirim, Almodôvar, Amarante, Barcelos, Beja, Cantanhede, Cartaxo, Cascais, Chaves, Fafe, Figueira de Castelo Rodrigo, Gondomar, Grândola, Maia, Melgaço, Monção, Monchique, Mondim de Basto, Penacova, Sabrosa, Santo Tirso, Sardoal, Sertã, Sines, Torres Vedras, Vila do Conde, Vila Real",2,60,0.1284796573875803,,,,,,,,,,,,,,
,"Águeda, Alandroal, Alenquer, Alijó, Aljustrel, Almeida, Amadora, Municipío Arouca, Arruda dos Vinhos, Avis, Barreiro, Batalha, Belmonte, Benavente, Cabeceiras de Basto, Caldas da Rainha, Caminha, Castro Daire, Castro Marim, Espinho, Estarreja, Évora, Faro, Felgueiras, Fornos de Algodres, Fundão, Lagos, Marco de Canaveses, Mealhada, Mirandela, Montemor-o-Velho, Montijo, Mourão, Nelas, Odemira, Oeiras, Oleiros, Olhão, Oliveira de Azeméis, Oliveira de Frades, Ovar, Paços de Ferreira, Paredes, Peso da Régua, Pinhel, Pombal, Ponte de Sor, Portalegre, Redondo, Rio Maior, Santiago do Cacém, Serpa, Setúbal, Silves, Sobral de Monte Agraço, Sousel, Tarouca, Terras de Bouro, Tomar, Trancoso, Vagos, Valpaços, Vidigueira, Vila Franca de Xira, Viseu, Vizela",1,66,0.14132762312633834,,,,,,,,,,,,,,
,total, - ,214,0.45824411134903636,,,,,,,,,,,,,,
,TOTAL, - ,467,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
