Quadro 4.1 Peões vítimas em Portugal por regiões NUTS I,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Regiões,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Continente,134,105,102,-0.02857142857142858,409,323,321,-0.006191950464396245,5180,4316,4450,0.03104726598702512,5723,4744,4873,0.027192242833052216
R.A. Açores,5,1,4,3,17,12,14,0.16666666666666674,134,104,140,0.34615384615384626,156,117,158,0.3504273504273505
R.A. Madeira,1,1,3,2,24,15,15,0,77,72,58,-0.19444444444444442,102,88,76,-0.13636363636363635
Total,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
