Quadro 4.10 Peões vítimas em Portugal por distrito e R.A.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e R.A.,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Aveiro,5,7,6,-0.1428571428571429,27,24,24,0,283,238,267,0.12184873949579833,315,269,297,0.10408921933085491
Beja,2,9,3,-0.6666666666666667,9,10,5,-0.5,35,30,37,0.2333333333333334,46,49,45,-0.08163265306122447
Braga,11,9,14,0.5555555555555556,35,21,27,0.2857142857142858,417,392,372,-0.05102040816326525,463,422,413,-0.021327014218009532
Bragança,1,0,3,-,11,9,9,0,51,36,32,-0.11111111111111116,63,45,44,-0.022222222222222254
C. Branco,1,3,2,-0.33333333333333337,10,2,11,4.5,59,52,41,-0.21153846153846156,70,57,54,-0.052631578947368474
Coimbra,7,2,5,1.5,16,11,7,-0.36363636363636365,164,148,145,-0.020270270270270285,187,161,157,-0.024844720496894457
Évora,3,2,1,-0.5,8,3,4,0.33333333333333326,38,45,24,-0.4666666666666667,49,50,29,-0.42000000000000004
Faro,11,10,4,-0.6,27,22,15,-0.31818181818181823,242,251,202,-0.19521912350597614,280,283,221,-0.21908127208480566
Guarda,1,2,3,0.5,6,9,4,-0.5555555555555556,43,33,24,-0.2727272727272727,50,44,31,-0.2954545454545454
Leiria,11,6,4,-0.33333333333333337,18,12,20,0.6666666666666667,184,167,160,-0.041916167664670656,213,185,184,-0.00540540540540535
Lisboa,25,13,13,0,103,61,68,0.11475409836065564,1615,1248,1327,0.06330128205128216,1743,1322,1408,0.06505295007564293
Portalegre,1,0,2,-,5,2,4,1,27,21,32,0.5238095238095237,33,23,38,0.6521739130434783
Porto,26,18,16,-0.11111111111111116,43,51,47,-0.07843137254901966,1093,922,1028,0.11496746203904551,1162,991,1091,0.1009081735620585
Santarém,5,2,6,2,24,22,18,-0.18181818181818177,152,125,102,-0.18400000000000005,181,149,126,-0.15436241610738255
Setúbal,7,10,10,0,29,39,32,-0.17948717948717952,455,379,397,0.0474934036939314,491,428,439,0.025700934579439227
V. Castelo,8,2,4,1,9,5,9,0.8,94,70,84,0.19999999999999996,111,77,97,0.2597402597402598
Vila Real,5,2,3,0.5,13,9,5,-0.4444444444444444,80,55,65,0.18181818181818188,98,66,73,0.10606060606060597
Viseu,4,8,3,-0.625,16,11,12,0.09090909090909083,148,104,111,0.06730769230769229,168,123,126,0.024390243902439046
R.A. Açores,5,1,4,3,24,15,15,0,77,72,58,-0.19444444444444442,106,88,77,-0.125
R.A. Madeira,1,1,3,2,17,12,14,0.16666666666666674,134,104,140,0.34615384615384626,152,117,157,0.3418803418803418
Total,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
