Quadro 4.3 Peões vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Jan,19,9,16,0.7777777777777777,45,26,39,0.5,513,351,468,0.33333333333333326,577,386,523,0.35492227979274604
Fev,9,6,8,0.33333333333333326,34,24,25,0.04166666666666674,390,312,339,0.08653846153846145,433,342,372,0.08771929824561409
Mar,13,4,14,2.5,52,21,25,0.19047619047619047,475,360,380,0.05555555555555558,540,385,419,0.08831168831168834
Abr,8,9,6,-0.33333333333333337,22,17,21,0.23529411764705888,352,322,320,-0.006211180124223614,382,348,347,-0.002873563218390829
Mai,7,7,8,0.1428571428571428,35,27,27,0,466,368,362,-0.016304347826086918,508,402,397,-0.01243781094527363
Jun,10,4,4,0,38,22,25,0.13636363636363646,373,305,352,0.1540983606557378,421,331,381,0.1510574018126889
Jul,7,7,8,0.1428571428571428,26,37,24,-0.3513513513513513,386,386,348,-0.0984455958549223,419,430,380,-0.11627906976744184
Ago,13,13,5,-0.6153846153846154,41,36,28,-0.2222222222222222,368,332,330,-0.0060240963855421326,422,381,363,-0.047244094488189003
Set,8,9,16,0.7777777777777777,51,31,25,-0.19354838709677424,403,414,408,-0.01449275362318836,462,454,449,-0.011013215859030812
Out,16,11,14,0.2727272727272727,35,36,36,0,512,394,410,0.04060913705583746,563,441,460,0.04308390022675734
Nov,13,15,0,-1,42,36,41,0.13888888888888884,581,486,477,-0.01851851851851849,636,537,518,-0.035381750465549366
Dez,17,13,10,-0.23076923076923073,29,37,34,-0.08108108108108103,572,462,454,-0.017316017316017285,618,512,498,-0.02734375
Total,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
