"Quadro 5.1 Passageiros vítimas em Portugal, por NUTS I",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NUTS I,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Continente,109,105,99,-0.05714285714285716,368,384,343,-0.10677083333333337,10249,8178,8813,0.07764734653949623,10726,8667,9255,0.0678435444790586
R.A. Açores,6,0,4,-,23,23,12,-0.4782608695652174,180,183,167,-0.08743169398907102,209,206,183,-0.11165048543689315
R.A. Madeira,30,2,2,0,27,7,11,0.5714285714285714,238,212,221,0.04245283018867929,295,221,234,0.05882352941176472
Total,145,107,105,-0.01869158878504673,418,414,366,-0.1159420289855072,10667,8573,9201,0.07325323690656704,11230,9094,9672,0.06355839014734999
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
