Quadro 5.4 Passageiros vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
2.ª feira,13,15,14,-0.06666666666666665,34,41,47,0.14634146341463405,1377,1114,1172,0.05206463195691202,1424,1170,1233,0.05384615384615388
3.ª feira,14,6,9,0.5,53,52,37,-0.28846153846153844,1384,1092,1107,0.013736263736263687,1451,1150,1153,0.002608695652173809
4.ª feira,44,10,7,-0.30000000000000004,53,39,39,0,1355,1124,1121,-0.002669039145907437,1452,1173,1167,-0.005115089514066473
5.ª feira,8,5,13,1.6,42,45,38,-0.15555555555555556,1376,1071,1216,0.13538748832866476,1426,1121,1267,0.1302408563782338
6.ª feira,15,19,16,-0.1578947368421053,56,59,40,-0.3220338983050848,1490,1273,1346,0.057344854673998524,1561,1351,1402,0.03774981495188756
Sábado,21,18,25,0.38888888888888884,79,85,90,0.05882352941176472,1803,1447,1590,0.09882515549412574,1903,1550,1705,0.10000000000000009
Domingo,30,34,21,-0.38235294117647056,101,93,75,-0.19354838709677424,1882,1452,1649,0.13567493112947648,2013,1579,1745,0.10512982900569989
Total,145,107,105,-0.01869158878504673,418,414,366,-0.1159420289855072,10667,8573,9201,0.07325323690656704,11230,9094,9672,0.06355839014734999
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
