Quadro 6.11 Condutores vítimas em Portugal por distrito e R.A.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e R.A.,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Aveiro,34,26,29,0.11538461538461542,80,109,135,0.23853211009174302,2356,2264,2420,0.06890459363957602,2470,2399,2584,0.0771154647769905
Beja,22,10,18,0.8,39,42,65,0.5476190476190477,345,348,353,0.014367816091954033,406,400,436,0.09000000000000008
Braga,29,27,30,0.11111111111111116,95,95,129,0.35789473684210527,2591,2472,2755,0.11448220064724923,2715,2594,2914,0.12336160370084803
Bragança,7,9,4,-0.5555555555555556,24,26,33,0.26923076923076916,308,287,302,0.05226480836236935,339,322,339,0.052795031055900665
C. Branco,7,6,18,2,44,32,50,0.5625,391,409,423,0.03422982885085579,442,447,491,0.09843400447427286
Coimbra,25,28,27,-0.0357142857142857,53,60,61,0.016666666666666607,1353,1399,1336,-0.045032165832737725,1431,1487,1424,-0.04236718224613312
Évora,9,14,7,-0.5,45,37,54,0.45945945945945943,341,321,370,0.15264797507788153,395,372,431,0.1586021505376345
Faro,29,27,33,0.22222222222222232,152,116,151,0.3017241379310345,1664,1592,1709,0.07349246231155782,1845,1735,1893,0.09106628242074932
Guarda,15,8,7,-0.125,34,34,29,-0.1470588235294118,323,338,378,0.11834319526627213,372,380,414,0.08947368421052637
Leiria,26,32,30,-0.0625,83,85,107,0.2588235294117647,1476,1321,1491,0.12869038607115812,1585,1438,1628,0.13212795549374134
Lisboa,40,46,37,-0.19565217391304346,200,179,195,0.0893854748603351,6115,5167,5487,0.061931488291077974,6355,5392,5719,0.06064540059347179
Portalegre,15,11,13,0.18181818181818188,34,41,33,-0.19512195121951215,234,209,256,0.22488038277511957,283,261,302,0.15708812260536398
Porto,35,28,35,0.25,135,150,136,-0.09333333333333338,4791,4461,4789,0.07352611522080243,4961,4639,4960,0.06919594740245749
Santarém,27,22,30,0.36363636363636354,146,146,157,0.07534246575342474,1293,1151,1255,0.09035621198957422,1466,1319,1442,0.09325246398786957
Setúbal,22,39,43,0.10256410256410264,109,129,134,0.03875968992248069,1908,1879,2127,0.13198509845662576,2039,2047,2304,0.12554958475818268
V. Castelo,8,12,15,0.25,34,47,55,0.17021276595744683,694,687,666,-0.03056768558951961,736,746,736,-0.013404825737265424
Vila Real,8,16,17,0.0625,28,33,46,0.39393939393939403,520,551,528,-0.04174228675136116,556,600,591,-0.015000000000000013
Viseu,25,20,19,-0.050000000000000044,56,56,74,0.3214285714285714,1051,1096,1133,0.033759124087591186,1132,1172,1226,0.04607508532423199
R.A. Açores,10,13,10,-0.23076923076923073,59,68,68,0,429,428,483,0.12850467289719636,498,509,561,0.10216110019646374
R.A. Madeira,10,10,6,-0.4,65,53,72,0.35849056603773577,693,669,763,0.14050822122571005,768,732,841,0.1489071038251366
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
