Quadro 6.13 Condutores vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,2019,2022,2023
Automóvel ligeiro,191,177,188,0.062146892655367214,624,657,678,0.03196347031963476,17396,15036,15807,0.05127693535514766,18211,15870,16673,0.0505986137366099,1.048816649277909,1.11531190926276,1.1275715228213279,3.4265004667508645,4.1398865784499055,4.066454747196066
Automóvel pesado,7,14,7,-0.5,29,17,19,0.11764705882352944,273,263,228,-0.13307984790874527,309,294,254,-0.13605442176870752,2.26537216828479,4.761904761904762,2.7559055118110236,9.385113268608414,5.782312925170068,7.480314960629921
Ciclomotor,34,33,28,-0.1515151515151515,153,127,124,-0.023622047244094446,2198,1671,1676,0.0029922202274086374,2385,1831,1828,-0.0016384489350081965,1.4255765199161425,1.8022938285090115,1.5317286652078774,6.415094339622641,6.936100491534681,6.783369803063457
Motociclo cilindrada <= 125cc,34,35,45,0.2857142857142858,206,217,278,0.28110599078341014,3989,4385,4922,0.1224629418472063,4229,4637,5245,0.13111925814103942,0.8039725703476,0.7547983610092733,0.8579599618684461,4.871127926223694,4.679749838257495,5.300285986653956
Motociclo cilindrada > 125cc,84,99,109,0.101010101010101,319,322,467,0.4503105590062111,2511,2680,3130,0.16791044776119413,2914,3101,3706,0.1950983553692358,2.8826355525051475,3.1925185424056752,2.941176470588235,10.947151681537406,10.383747178329571,12.601187263896383
Velocípede,27,23,25,0.08695652173913038,97,103,124,0.20388349514563098,1644,1597,1649,0.03256105197244841,1768,1723,1798,0.04352872896111437,1.5271493212669685,1.3348810214741729,1.3904338153503892,5.486425339366516,5.977945443993035,6.896551724137931
Quadriciclo,11,3,9,2,36,29,19,-0.3448275862068966,246,214,187,-0.12616822429906538,293,246,215,-0.1260162601626016,3.7542662116040955,1.2195121951219512,4.186046511627907,12.286689419795222,11.788617886178862,8.837209302325581
Triciclo,0,1,0,-1,1,2,4,1,23,21,19,-0.09523809523809523,24,24,23,-0.04166666666666663,0,4.166666666666667,0,4.166666666666667,8.333333333333334,17.391304347826086
Veículo agrícola,14,10,10,0,22,21,12,-0.4285714285714286,81,71,89,0.2535211267605635,117,102,111,0.08823529411764697,11.965811965811966,9.803921568627452,9.009009009009008,18.803418803418804,20.588235294117645,10.81081081081081
Outros*,1,9,7,-0.2222222222222222,28,43,59,0.37209302325581395,515,1111,1317,0.18541854185418538,544,1163,1383,0.18916595012897686,0.1838235294117647,0.7738607050730868,0.5061460592913956,5.147058823529411,3.697334479793637,4.2660882140274765
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158,1.308696499318049,1.3935359249422232,1.3702138558074017,4.919789569396635,5.305094684557276,5.711358688692534
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
