Quadro 6.14 Condutores vítimas em Portugal por ações dos condutores,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ações dos condutores,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Atravessando a via,2,7,3,-0.5714285714285714,13,18,14,-0.2222222222222222,207,214,258,0.20560747663551404,222,239,275,0.15062761506276146
Circulação em sentido oposto ao estabelecido,4,10,7,-0.30000000000000004,19,19,24,0.26315789473684204,113,150,132,-0.12,136,179,163,-0.08938547486033521
Desvio brusco/ saída de fila de trânsito,10,5,5,0,34,31,30,-0.032258064516129004,360,328,353,0.07621951219512191,404,364,388,0.06593406593406592
Em marcha normal,342,336,358,0.06547619047619047,1283,1291,1492,0.1556932610379551,24134,22508,24035,0.06784254487293406,25759,24135,25885,0.07250880464056353
Início de marcha,4,8,8,0,22,30,23,-0.23333333333333328,445,491,586,0.19348268839103877,471,529,617,0.16635160680529304
Inversão do sentido de marcha,3,1,1,0,5,2,6,2,67,62,96,0.5483870967741935,75,65,103,0.5846153846153845
Marcha atrás,1,1,0,-1,2,7,2,-0.7142857142857143,93,68,52,-0.23529411764705888,96,76,54,-0.2894736842105263
Mudança de direcção para a direita,2,2,0,-1,4,16,9,-0.4375,264,249,271,0.08835341365461846,270,267,280,0.04868913857677892
Mudança de direcção para a esquerda,8,3,11,2.6666666666666665,37,34,43,0.2647058823529411,1133,915,1044,0.14098360655737707,1178,952,1098,0.15336134453781503
Mudança de via de trânsito para a direita,0,0,2,-,4,1,5,4,97,93,100,0.07526881720430101,101,94,107,0.13829787234042556
Mudança de via de trânsito para a esquerda,3,3,3,0,6,2,7,2.5,101,88,117,0.3295454545454546,110,93,127,0.36559139784946226
Parado ou estacionado,3,6,6,0,12,14,15,0.0714285714285714,664,565,530,-0.06194690265486724,679,585,551,-0.058119658119658135
Saída de parqueamento ou de rua particular,1,1,1,0,4,9,9,0,105,94,116,0.23404255319148937,110,104,126,0.21153846153846145
Trânsito em filas paralelas,0,0,0,-,2,1,4,3,20,15,34,1.2666666666666666,22,16,38,1.375
Travagem brusca,2,0,2,-,4,3,17,4.666666666666667,158,134,180,0.34328358208955234,164,137,199,0.45255474452554734
Ultrapassagem pela direita,2,0,0,-,8,1,2,1,51,64,79,0.234375,61,65,81,0.24615384615384617
Ultrapassagem pela esquerda,16,19,18,-0.052631578947368474,46,43,72,0.6744186046511629,632,684,738,0.07894736842105265,694,746,828,0.10991957104557648
n.d.,0,2,3,0.5,10,16,10,-0.375,232,327,303,-0.07339449541284404,242,345,316,-0.08405797101449275
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
