Quadro 6.17 Condutores vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,,,,,,,,,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,,,,,,,,,,
<=14,1,0,2,-,9,7,17,1.4285714285714284,144,142,182,0.2816901408450705,154,149,201,0.34899328859060397,,,,,,,,,,
15_19,13,10,19,0.8999999999999999,66,78,119,0.5256410256410255,1759,1656,1969,0.18900966183574885,1838,1744,2107,0.20814220183486243,,,,,,,,,,
20_24,40,29,34,0.17241379310344818,138,173,192,0.10982658959537561,3459,3193,3346,0.04791731913560904,3637,3395,3572,0.05213549337260681,,,,,,,,,,
25_29,35,37,38,0.027027027027026973,169,160,185,0.15625,3073,3002,3220,0.07261825449700199,3277,3199,3443,0.07627383557361678,,,,,,,,,,
30_34,30,27,27,0,155,146,161,0.10273972602739723,2789,2543,2736,0.07589461266220998,2974,2716,2924,0.07658321060382911,,,,,,,,,,
35_39,41,29,40,0.3793103448275863,163,121,147,0.2148760330578512,2662,2355,2552,0.08365180467091293,2866,2505,2739,0.09341317365269464,,,,,,,,,,
40_44,37,33,36,0.09090909090909083,160,153,160,0.045751633986928164,2843,2459,2512,0.021553477023180223,3040,2645,2708,0.023818525519848865,,,,,,,,,,
45_49,37,45,37,-0.1777777777777778,122,170,183,0.07647058823529407,2612,2552,2623,0.02782131661442011,2771,2767,2843,0.027466570292735915,,,,,,,,,,
50_54,26,28,38,0.3571428571428572,109,141,138,-0.021276595744680882,2234,2225,2321,0.04314606741573024,2369,2394,2497,0.04302422723475363,,,,,,,,,,
55_59,20,34,27,-0.20588235294117652,99,88,131,0.48863636363636354,2021,1897,1901,0.0021085925144965767,2140,2019,2059,0.01981178801386818,,,,,,,,,,
60_64,21,37,27,-0.2702702702702703,95,91,112,0.23076923076923084,1564,1461,1702,0.1649555099247091,1680,1589,1841,0.15859030837004395,,,,,,,,,,
65_69,28,24,33,0.375,73,70,86,0.22857142857142865,1163,1180,1257,0.06525423728813551,1264,1274,1376,0.0800627943485086,,,,,,,,,,
70_74,28,30,18,-0.4,54,54,55,0.0185185185185186,990,900,1026,0.1399999999999999,1072,984,1099,0.11686991869918706,,,,,,,,,,
>=75,45,41,52,0.2682926829268293,97,86,98,0.13953488372093026,1523,1482,1674,0.12955465587044523,1665,1609,1824,0.1336233685518955,,,,,,,,,,
n.d.,1,0,0,-,6,0,0,-,40,2,3,0.5,47,2,3,0.5,,,,,,,,,,
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158,,,,,,,,,,
n.d. - não definido,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
