Quadro 6.6 Condutores vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Bom tempo,343,359,386,0.07520891364902504,1315,1347,1621,0.2034149962880476,22978,22365,24457,0.09353901184887103,24636,24071,26464,0.09941423289435414
Chuva,58,38,35,-0.07894736842105265,174,176,141,-0.19886363636363635,5605,4485,4285,-0.044593088071348985,5837,4699,4461,-0.05064907427112153
Nevoeiro,2,4,5,0.25,21,13,19,0.46153846153846145,196,139,189,0.3597122302158273,219,156,213,0.3653846153846154
Vento,0,0,1,-,2,1,2,1,16,30,32,0.06666666666666665,18,31,35,0.12903225806451624
Granizo,0,0,0,-,1,0,1,-,28,2,12,5,29,2,13,5.5
Neve,0,1,1,0,0,0,0,-,7,4,18,3.5,7,5,19,2.8
Fumo,0,1,0,-1,2,0,0,-,5,3,2,-0.33333333333333337,7,4,2,-0.5
n.d.,0,1,0,-1,0,1,0,-1,41,21,29,0.38095238095238093,41,23,29,0.26086956521739135
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
