,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 8. Sinistralidade no Continente por fatores atmosféricos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,,,,,,,,,,,,,,
Bom tempo,27164,29546,0.08768958916212632,402,415,0.03233830845771135,1957,2164,0.10577414409810926,31780,34396,0.08231592196349902,,,,,,,,,,,,,,
Chuva,5397,5120,-0.05132481007967393,53,44,-0.16981132075471694,265,244,-0.0792452830188679,6399,6258,-0.022034692920768872,,,,,,,,,,,,,,
Nevoeiro,156,205,0.3141025641025641,4,6,0.5,18,23,0.2777777777777777,196,285,0.45408163265306123,,,,,,,,,,,,,,
Vento,26,34,0.3076923076923077,0,2,-,2,2,0,29,39,0.3448275862068966,,,,,,,,,,,,,,
Neve,5,20,3,1,0,-1,0,3,-,6,23,2.8333333333333335,,,,,,,,,,,,,,
Fumo,3,2,-0.33333333333333337,2,0,-1,0,0,-,2,2,0,,,,,,,,,,,,,,
Granizo,3,10,2.3333333333333335,0,0,-,0,1,-,7,13,0.8571428571428572,,,,,,,,,,,,,,
n.d.,34,37,0.08823529411764697,0,0,-,1,0,-1,37,42,0.1351351351351351,,,,,,,,,,,,,,
Total,32788,34974,0.06667073319507133,462,467,0.010822510822510845,2243,2437,0.08649130628622381,38456,41058,0.0676617432910338,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
