Quadro 1.10 Sinistralidade em Portugal por distrito e R.A.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e R.A.,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Aveiro,2815,2868,2898,0.010460251046025215,42,44,39,-0.11363636363636365,135,189,190,0.005291005291005346,3362,3339,3385,0.013776579814315681
Beja,468,486,520,0.06995884773662553,37,28,28,0,68,83,106,0.27710843373493965,566,570,578,0.01403508771929829
Braga,3180,3291,3311,0.006077180188392539,45,50,43,-0.14,153,181,220,0.2154696132596685,3988,3951,4028,0.019488737028600323
Bragança,412,394,393,-0.0025380710659898,8,7,10,0.4285714285714286,48,47,48,0.02127659574468077,488,472,469,-0.006355932203389814
C. Branco,527,565,547,-0.031858407079646045,14,24,14,-0.41666666666666663,66,72,64,-0.11111111111111116,628,660,616,-0.06666666666666665
Coimbra,1624,1602,1635,0.020599250936329527,40,36,32,-0.11111111111111116,79,83,103,0.24096385542168686,1952,1856,1897,0.022090517241379226
Évora,444,458,515,0.12445414847161573,17,12,16,0.33333333333333326,71,76,68,-0.10526315789473684,545,532,591,0.11090225563909772
Faro,2154,2149,2363,0.09958120055839936,44,43,43,0,214,184,199,0.08152173913043481,2449,2401,2606,0.085381091211995
Guarda,433,440,480,0.09090909090909083,19,15,19,0.2666666666666666,58,50,48,-0.040000000000000036,509,527,558,0.05882352941176472
Leiria,1822,1802,1857,0.030521642619311784,45,38,45,0.18421052631578938,123,151,177,0.17218543046357615,2132,2117,2120,0.0014170996693434468
Lisboa,8232,7248,7694,0.06153421633554079,76,60,76,0.2666666666666666,337,298,313,0.05033557046979875,9820,8460,9035,0.06796690307328612
Portalegre,303,331,326,-0.015105740181268867,17,19,11,-0.42105263157894735,52,41,62,0.5121951219512195,365,389,364,-0.06426735218508994
Porto,6245,6107,6384,0.04535778614704444,79,61,76,0.24590163934426235,205,216,218,0.0092592592592593,7738,7261,7609,0.04792728274342384
Santarém,1612,1592,1656,0.04020100502512558,41,45,39,-0.1333333333333333,211,216,205,-0.05092592592592593,1953,1789,1926,0.07657909446618216
Setúbal,2605,2775,2724,-0.018378378378378413,32,59,40,-0.3220338983050848,159,192,197,0.02604166666666674,3183,3332,3272,-0.01800720288115243
V. Castelo,859,843,945,0.12099644128113884,18,22,16,-0.2727272727272727,53,70,70,0,1038,1002,1143,0.14071856287425155
Vila Real,654,665,669,0.006015037593984918,14,24,15,-0.375,46,60,56,-0.06666666666666665,863,777,795,0.02316602316602312
Viseu,1315,1358,1421,0.046391752577319645,38,26,33,0.26923076923076916,90,99,111,0.1212121212121211,1604,1606,1680,0.04607721046077207
R.A. Açores,611,620,681,0.09838709677419355,21,18,12,-0.33333333333333337,106,95,98,0.03157894736842115,686,708,776,0.09604519774011289
R.A. Madeira,936,1001,1018,0.016983016983016963,41,11,11,0,109,97,73,-0.24742268041237114,1065,1124,1159,0.031138790035587283
Total,37251,36595,38037,0.03940429020357983,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
