,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 18. Sinistralidade no Continente por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,Veículos Intervenientes,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,2023,2024,∆(%) 24/19,∆(%) 24/23,,,,,,,,,,,,,,,,,,,,,
Veículos ligeiros,43934,40663,42106,-0.041607866344972044,0.035486806187443154,,,,,,,,,,,,,,,,,,,,,
Veículos pesados,1620,1533,1673,0.032716049382716106,0.091324200913242,,,,,,,,,,,,,,,,,,,,,
Ciclomotores,2378,1784,1587,-0.33263246425567705,-0.11042600896860988,,,,,,,,,,,,,,,,,,,,,
Motociclos,7101,8936,9546,0.34431770173215037,0.06826320501342886,,,,,,,,,,,,,,,,,,,,,
Velocípedes,2344,3239,3602,0.5366894197952219,0.11207162704538431,,,,,,,,,,,,,,,,,,,,,
Veículos agrícolas,212,189,228,0.07547169811320753,0.20634920634920628,,,,,,,,,,,,,,,,,,,,,
Outros*,711,697,752,0.057665260196905876,0.07890961262553797,,,,,,,,,,,,,,,,,,,,,
Total,58300,57041,59494,0.020480274442538526,0.043004154906120196,,,,,,,,,,,,,,,,,,,,,
" * Inclui máquinas industriais, triciclos, quadriciclos, veículos de tração animal veículos sobre carris, desconhecidos e não definidos",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
