Quadro 2.1 Veículos intervenientes em acidentes com vítimas em Portugal por categoria e natureza do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Categoria veículo e natureza ,,Atropelamento ,,,,Colisão,,,,Despiste,,,,Total,,,
,,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Veículo Ligeiro,Passageiros ,3999,3421,3550,0.037708272434960444,26869,24957,26450,0.0598228953800537,6460,6510,6496,-0.0021505376344086446,37328,34888,36496,0.04609034625085995
,Mercadorias ,822,753,693,-0.07968127490039845,5528,5178,5101,-0.014870606411741982,1376,1231,1192,-0.03168155970755482,7726,7162,6986,-0.024574141301312524
,Outros ,35,40,25,-0.375,322,256,262,0.0234375,94,48,63,0.3125,451,344,350,0.01744186046511631
,n.d. ,108,103,116,0.12621359223300965,39,38,43,0.13157894736842102,13,6,4,-0.33333333333333337,160,147,163,0.10884353741496589
,Total ,4964,4317,4384,0.01552003706277505,32758,30429,31856,0.046896053107233326,7943,7795,7755,-0.005131494547787052,45665,42541,43995,0.03417879222397224
Veículo Pesado ,Passageiros ,104,109,122,0.11926605504587151,364,353,415,0.17563739376770537,26,31,27,-0.12903225806451613,494,493,564,0.14401622718052742
,Mercadorias ,50,38,37,-0.02631578947368418,590,579,586,0.012089810017271052,131,102,125,0.22549019607843146,771,719,748,0.04033379694019468
,Outros ,21,17,17,0,314,298,343,0.15100671140939603,75,63,76,0.20634920634920628,410,378,436,0.1534391534391535
,n.d. ,3,1,0,-1,1,1,1,0,0,0,0,-,4,2,1,-0.5
,Total ,178,165,176,0.06666666666666665,1269,1231,1345,0.0926076360682373,232,196,228,0.16326530612244894,1679,1592,1749,0.09861809045226133
Ciclomotor,,73,32,36,0.125,1399,1011,939,-0.07121661721068251,1034,842,704,-0.16389548693586697,2506,1885,1679,-0.1092838196286472
Motociclo cilindrada <= 125cc,,136,146,175,0.19863013698630128,2694,3450,3658,0.06028985507246376,1621,1924,2045,0.06288981288981299,4451,5520,5878,0.0648550724637682
Motociclo cilindrada > 125cc,,93,89,115,0.2921348314606742,1898,2437,2613,0.07221994255231845,1096,1396,1510,0.08166189111747846,3087,3922,4238,0.08057113717491071
Velocípede,,139,149,155,0.04026845637583887,1612,2132,2401,0.12617260787992501,680,1048,1145,0.09255725190839703,2431,3329,3701,0.11174526884950442
Quadriciclo,,15,15,22,0.46666666666666656,125,119,117,-0.01680672268907568,207,143,152,0.06293706293706292,347,277,291,0.05054151624548742
Triciclo,,10,5,10,1,23,21,19,-0.09523809523809523,14,15,14,-0.06666666666666665,47,41,43,0.04878048780487809
Veículo agrícola,,10,5,14,1.7999999999999998,113,109,115,0.05504587155963292,93,81,110,0.3580246913580247,216,195,239,0.22564102564102573
Outros*,,123,122,172,0.4098360655737705,193,245,244,-0.004081632653061273,27,31,29,-0.06451612903225812,343,398,445,0.11809045226130643
Total ,,5741,5045,5259,0.042418235877106136,42084,41184,43307,0.05154914529914523,12947,13471,13692,0.016405612055526708,60772,59700,62258,0.04284757118927973
"* Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
