Quadro 2.2 Veículos intervenientes em acidentes com vítimas em Portugal por categoria e idade do veículo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,≥ 25 anos,,,n.d.,,,Total ,,,,,,
,2019,2023,2024,2019,2023,2024,2019,2023,2024,2019,2023,2024,2019,2023,2024,2019,2023,2024,2019,2023,2024,2019,2023,2024,,,,
Veículo ligeiro ,7963,5733,6068,7072,8075,8825,9078,6567,6395,9960,7945,7680,7697,8038,7700,3408,5927,7043,487,256,284,45665,42541,43995,,,,
Veículo pesado ,325,401,447,342,348,444,423,294,306,322,297,268,169,131,165,74,107,114,24,14,5,1679,1592,1749,,,,
Ciclomotor,464,269,235,311,288,234,669,199,125,205,284,368,281,178,125,559,662,578,17,5,14,2506,1885,1679,,,,
Motociclo cilindrada <= 125cc ,2057,2307,2625,1211,1548,1538,500,834,843,229,269,318,232,185,166,206,362,357,16,15,31,4451,5520,5878,,,,
Motociclo cilindrada > 125cc ,1007,1360,1510,405,691,855,483,346,318,472,531,497,420,534,464,285,451,569,15,9,25,3087,3922,4238,,,,
Velocípede,207,450,487,57,45,53,11,26,14,14,3,3,3,9,18,5,4,6,2134,2792,3120,2431,3329,3701,,,,
Quadriciclo ,55,49,62,54,37,46,144,48,41,76,82,87,18,42,33,0,18,18,0,1,4,347,277,291,,,,
Triciclo ,22,11,18,10,13,10,8,11,7,3,2,4,2,2,2,1,1,2,1,1,0,47,41,43,,,,
Veículo agrícola ,55,68,53,20,23,33,20,15,20,35,20,9,22,15,19,60,53,82,4,1,23,216,195,239,,,,
Outros* ,48,30,15,8,6,4,2,4,8,3,4,4,3,3,1,2,4,1,277,347,412,343,398,445,,,,
Total ,12203,10678,11520,9490,11074,12042,11338,8344,8077,11319,9437,9238,8847,9137,8693,4600,7589,8770,2975,3441,3918,60772,59700,62258,,,,
"* Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,,,,,
,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,∆(%) 23/19,∆(%) 24/19,∆(%) 24/23,,,,
Veículo ligeiro ,-0.2800452090920508,-0.23797563732261706,0.05843362986220124,0.14182692307692313,0.247878959276018,0.09287925696594423,-0.27660277594183746,-0.29554968054637587,-0.026191563880006097,-0.20230923694779113,-0.22891566265060237,-0.033354310887350525,0.04430297518513715,0.0003897622450306226,-0.04205026125901967,0.739143192488263,1.0666079812206575,0.18829087227939945,-0.47433264887063653,-0.41683778234086244,0.109375,-0.06841125588525132,-0.0365706777619621,0.03417879222397224,,,,
Veículo pesado ,0.23384615384615381,0.3753846153846154,0.11471321695760595,0.01754385964912286,0.29824561403508776,0.27586206896551735,-0.3049645390070922,-0.276595744680851,0.04081632653061229,-0.07763975155279501,-0.16770186335403725,-0.09764309764309764,-0.2248520710059172,-0.023668639053254448,0.2595419847328244,0.44594594594594605,0.5405405405405406,0.06542056074766345,-0.41666666666666663,-0.7916666666666666,-0.6428571428571428,-0.051816557474687275,0.04169148302561054,0.09861809045226133,,,,
Ciclomotor,-0.42025862068965514,-0.49353448275862066,-0.12639405204460963,-0.07395498392282962,-0.247588424437299,-0.1875,-0.70254110612855,-0.8131539611360239,-0.371859296482412,0.3853658536585365,0.7951219512195122,0.295774647887324,-0.3665480427046264,-0.5551601423487544,-0.297752808988764,0.184257602862254,0.03398926654740597,-0.12688821752265866,-0.7058823529411764,-0.17647058823529416,1.7999999999999998,-0.24780526735833996,-0.3300079808459697,-0.1092838196286472,,,,
Motociclo cilindrada <= 125cc ,0.12153621779290225,0.276130286825474,0.13784135240572182,0.2782824112303881,0.2700247729149463,-0.006459948320413411,0.6679999999999999,0.6859999999999999,0.010791366906474753,0.1746724890829694,0.3886462882096069,0.18215613382899631,-0.2025862068965517,-0.2844827586206896,-0.10270270270270265,0.7572815533980584,0.733009708737864,-0.013812154696132617,-0.0625,0.9375,1.0666666666666669,0.24017074814648387,0.32060211188496957,0.0648550724637682,,,,
Motociclo cilindrada > 125cc ,0.3505461767626614,0.49950347567030784,0.11029411764705888,0.7061728395061728,1.1111111111111112,0.23733719247467433,-0.28364389233954457,-0.3416149068322981,-0.08092485549132944,0.125,0.052966101694915224,-0.064030131826742,0.27142857142857135,0.10476190476190483,-0.13108614232209737,0.5824561403508772,0.9964912280701754,0.26164079822616415,-0.4,0.6666666666666667,1.7777777777777777,0.27048914804016855,0.37285390346614844,0.08057113717491071,,,,
Velocípede,1.1739130434782608,1.3526570048309177,0.0822222222222222,-0.21052631578947367,-0.07017543859649122,0.1777777777777778,1.3636363636363638,0.2727272727272727,-0.46153846153846156,-0.7857142857142857,-0.7857142857142857,0,2,5,1,-0.19999999999999996,0.19999999999999996,0.5,0.3083411433926897,0.46204311152764754,0.11747851002865328,0.3693953105717811,0.5224187577128754,0.11174526884950442,,,,
Quadriciclo ,-0.10909090909090913,0.1272727272727272,0.26530612244897966,-0.31481481481481477,-0.14814814814814814,0.2432432432432432,-0.6666666666666667,-0.7152777777777778,-0.14583333333333337,0.07894736842105265,0.14473684210526305,0.060975609756097615,1.3333333333333335,0.8333333333333333,-0.2142857142857143,-,-,0,-,-,3,-0.20172910662824206,-0.16138328530259372,0.05054151624548742,,,,
Triciclo ,-0.5,-0.18181818181818177,0.6363636363636365,0.30000000000000004,0,-0.23076923076923073,0.375,-0.125,-0.36363636363636365,-0.33333333333333337,0.33333333333333326,1,0,0,-,0,1,1,0,-1,-,-0.12765957446808507,-0.08510638297872342,0.04878048780487809,,,,
Veículo agrícola ,0.23636363636363633,-0.036363636363636376,-0.22058823529411764,0.1499999999999999,0.6499999999999999,0.4347826086956521,-0.25,0,0.33333333333333326,-0.4285714285714286,-0.7428571428571429,-0.55,-0.31818181818181823,-0.13636363636363635,0.2666666666666666,-0.1166666666666667,0.3666666666666667,0.5471698113207548,-0.75,4.75,22,-0.09722222222222221,0.1064814814814814,0.22564102564102573,,,,
Outros* ,-0.375,-0.6875,-0.5,-0.25,-0.5,-0.33333333333333337,1,3,1,0.33333333333333326,0.33333333333333326,0,0,-0.6666666666666667,-0.6666666666666667,1,-0.5,-0.75,0.25270758122743686,0.4873646209386282,0.18731988472622474,0.16034985422740533,0.2973760932944607,0.11809045226130643,,,,
Total ,-0.12496926985167578,-0.055969843481111226,0.07885371792470508,0.1669125395152793,0.26891464699683887,0.0874119559328157,-0.264067736814253,-0.28761686364438177,-0.031999041227229186,-0.16626910504461523,-0.18385016344200023,-0.02108720991840629,0.03277947326777442,-0.01740703063185256,-0.04859363029440733,0.6497826086956522,0.9065217391304348,0.15561997628146007,0.1566386554621848,0.3169747899159663,0.13862249346120303,-0.01763970249456992,0.02445205028631614,0.04284757118927973,,,,
"* Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
