,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 22. Condutores e veículos fiscalizados,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,N.º Condutores / Veículos fiscalizados presencialmente,,,N.º Veículos fiscalizados por radar,,,Total de Condutores / Veículos fiscalizados,,,,,,,,,,,,,,,,,,,
Entidade fiscalizadora,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,,,,,,,,,,,,,,,,,
ANSR,-,-,-,166039491,243902902,0.4689451318542044,166039491,243902902,0.4689451318542044,,,,,,,,,,,,,,,,,
GNR,2363750,2261683,-0.043180116340560515,5409709,13114619,1.424274392578233,7773459,15376302,0.9780514697511109,,,,,,,,,,,,,,,,,
PSP,627403,584702,-0.06805992320725274,2210061,2012148,-0.08955092189763092,2837464,2596850,-0.08479896132602915,,,,,,,,,,,,,,,,,
PML(1),9282,13379,0.4413919413919414,1059045,606156,-0.42763905216492215,1068327,619535,-0.4200886058294885,,,,,,,,,,,,,,,,,
Total,3000435,2859764,-0.0468835352207263,174718306,259635825,0.48602531093679446,177718741,262495589,0.47702818241324363,,,,,,,,,,,,,,,,,
"(1) Na PML, os veículos fiscalizados por radar fixo correspondem ao número de infrações",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
