,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 28. Número de pontos disponíveis dos condutores que se encontravam sancionados com subtração de pontos em dezembro de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Nº de pontos disponíveis,Nº de condutores,,,,,,,,,,,,,,,,,,,,,,,,,
0,3822,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,,,,,,,,,,,,
2,144,,,,,,,,,,,,,,,,,,,,,,,,,
3,6796,,,,,,,,,,,,,,,,,,,,,,,,,
4,1227,,,,,,,,,,,,,,,,,,,,,,,,,
5,2651,,,,,,,,,,,,,,,,,,,,,,,,,
6,1595,,,,,,,,,,,,,,,,,,,,,,,,,
7,9629,,,,,,,,,,,,,,,,,,,,,,,,,
8,2750,,,,,,,,,,,,,,,,,,,,,,,,,
9,58576,,,,,,,,,,,,,,,,,,,,,,,,,
10,13844,,,,,,,,,,,,,,,,,,,,,,,,,
11,108536,,,,,,,,,,,,,,,,,,,,,,,,,
12,27297,,,,,,,,,,,,,,,,,,,,,,,,,
13,520392,,,,,,,,,,,,,,,,,,,,,,,,,
Total,757286,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
