"Quadro 3.5 Vítimas mortais em Portugal por milhão de habitantes, segundo o grupo etário",,,,,,,,,,,
,,,,,,,,,,,
Grupo etário,População (2024),VM,VM/milhão habitantes de Portugal,,,,,,,,
,,,,,,,,,,,
<=14,1359489,9,6.620134476998343,,,,,,,,
15-19,527160,30,56.90871841566128,,,,,,,,
20-24,570891,61,106.85051962633848,,,,,,,,
25-29,592964,50,84.3221510918032,,,,,,,,
30-34,610414,40,65.52929651023732,,,,,,,,
35-39,627948,34,54.14461070024907,,,,,,,,
40-44,724210,46,63.51748802143024,,,,,,,,
45-49,814504,51,62.61479378861246,,,,,,,,
50-54,802104,38,47.37540269092287,,,,,,,,
55-59,755290,40,52.959790279230496,,,,,,,,
60-64,749317,38,50.71284916797564,,,,,,,,
65-69,695772,46,66.113611930345,,,,,,,,
70-74,625336,48,76.75873450433048,,,,,,,,
75-79,531945,26,48.87723354858115,,,,,,,,
>=80,762291,61,80.02193388089326,,,,,,,,
Total,10749635,618,57.490324090073756,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
