Quadro 4.13 Peões vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
≤ 14,3,4,3,-0.25,37,27,38,0.40740740740740744,594,465,484,0.04086021505376336,634,496,525,0.058467741935483764
15_19,2,3,1,-0.6666666666666667,17,12,18,0.5,414,340,364,0.07058823529411762,433,355,383,0.07887323943661961
20_24,4,2,3,0.5,23,13,26,1,340,267,299,0.11985018726591767,367,282,328,0.16312056737588643
25_29,3,4,2,-0.5,15,17,21,0.23529411764705888,232,220,266,0.209090909090909,250,241,289,0.19917012448132776
30_34,1,2,4,1,10,15,16,0.06666666666666665,214,210,208,-0.00952380952380949,225,227,228,0.004405286343612369
35_39,3,0,1,-,11,8,16,1,220,221,223,0.009049773755656076,234,229,240,0.048034934497816595
40_44,1,1,4,3,30,11,18,0.6363636363636365,282,200,235,0.17500000000000004,313,212,257,0.21226415094339623
45_49,11,2,5,1.5,22,18,23,0.2777777777777777,308,286,264,-0.07692307692307687,341,306,292,-0.04575163398692805
50_54,5,9,7,-0.2222222222222222,32,21,21,0,362,300,294,-0.020000000000000018,399,330,322,-0.024242424242424288
55_59,10,7,9,0.2857142857142858,35,31,25,-0.19354838709677424,412,315,335,0.06349206349206349,457,353,369,0.04532577903682711
60_64,15,11,10,-0.09090909090909094,34,34,44,0.2941176470588236,395,369,377,0.021680216802167918,444,414,431,0.04106280193236711
65_69,20,13,15,0.15384615384615374,44,28,31,0.1071428571428572,346,344,333,-0.03197674418604646,410,385,379,-0.01558441558441559
70_74,20,7,15,1.1428571428571428,57,31,42,0.35483870967741926,406,370,325,-0.1216216216216216,483,408,382,-0.06372549019607843
75_79,16,17,10,-0.4117647058823529,36,43,32,-0.2558139534883721,351,314,344,0.09554140127388533,403,374,386,0.03208556149732611
≥ 80,25,27,22,-0.18518518518518523,47,41,55,0.3414634146341464,515,427,496,0.1615925058548009,587,495,573,0.15757575757575748
n.d.,1,0,0,-,0,0,0,-,0,0,0,-,1,0,0,-
Total,140,109,111,0.0183486238532109,450,350,426,0.21714285714285708,5391,4648,4847,0.042814113597246184,5981,5107,5384,0.05423927942040341
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
