Quadro 4.4 Peões vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
2.ª feira,27,18,15,-0.16666666666666663,61,49,70,0.4285714285714286,813,700,767,0.09571428571428564,901,767,852,0.11082138200782277
3.ª feira,24,15,16,0.06666666666666665,72,48,71,0.47916666666666674,843,741,765,0.03238866396761142,939,804,852,0.05970149253731338
4.ª feira,13,15,18,0.19999999999999996,62,56,73,0.3035714285714286,867,761,761,0,942,832,852,0.024038461538461453
5.ª feira,20,16,9,-0.4375,75,50,51,0.020000000000000018,907,764,791,0.035340314136125706,1002,830,851,0.025301204819277112
6.ª feira,28,13,22,0.6923076923076923,76,59,69,0.1694915254237288,935,798,816,0.022556390977443552,1039,870,907,0.042528735632183956
Sábado,16,20,17,-0.15000000000000002,63,54,52,-0.03703703703703709,604,503,564,0.12127236580516909,683,577,633,0.09705372616984409
Domingo,12,12,14,0.16666666666666674,41,34,40,0.17647058823529416,422,381,383,0.005249343832020914,475,427,437,0.023419203747072626
Total,140,109,111,0.0183486238532109,450,350,426,0.21714285714285708,5391,4648,4847,0.042814113597246184,5981,5107,5384,0.05423927942040341
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
