Quadro 4.6 Peões vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Bom tempo,126,92,93,0.010869565217391353,372,293,359,0.22525597269624575,4424,3988,4128,0.03510531594784361,4922,4373,4580,0.047335924994283074
Chuva,13,17,17,0,75,57,65,0.14035087719298245,928,636,691,0.08647798742138368,1016,710,773,0.08873239436619729
Nevoeiro,0,0,1,-,1,0,1,-,18,12,11,-0.08333333333333337,19,12,13,0.08333333333333326
Vento Forte,1,0,0,-,1,0,0,-,7,2,5,1.5,9,2,5,1.5
Neve,0,0,0,-,0,0,0,-,1,1,1,0,1,1,1,0
Fumo,0,0,0,-,1,0,0,-,0,0,1,-,1,0,1,-
n.d.,0,0,0,-,0,0,1,-,13,9,10,0.11111111111111116,13,9,11,0.22222222222222232
Total,140,109,111,0.0183486238532109,450,350,426,0.21714285714285708,5391,4648,4847,0.042814113597246184,5981,5107,5384,0.05423927942040341
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
