Quadro 5.11 Passageiros vítimas em Portugal por distrito e R.A.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e R.A.,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Aveiro,3,9,7,-0.2222222222222222,28,30,27,-0.09999999999999998,723,652,689,0.05674846625766872,754,691,723,0.04630969609261948
Beja,13,7,7,0,20,13,24,0.8461538461538463,186,180,168,-0.06666666666666665,219,200,199,-0.0050000000000000044
Braga,5,6,0,-1,23,25,35,0.3999999999999999,980,824,850,0.031553398058252524,1008,855,885,0.03508771929824572
Bragança,0,0,2,-,13,5,16,2.2,129,138,121,-0.12318840579710144,142,143,139,-0.027972027972028024
C. Branco,6,4,1,-0.75,12,11,9,-0.18181818181818177,178,196,143,-0.27040816326530615,196,211,153,-0.2748815165876777
Coimbra,8,4,4,0,10,15,13,-0.1333333333333333,435,375,405,0.08000000000000007,453,394,422,0.07106598984771573
Évora,5,4,4,0,18,18,20,0.11111111111111116,166,138,136,-0.01449275362318836,189,160,160,0
Faro,4,6,1,-0.8333333333333334,35,18,26,0.4444444444444444,543,490,476,-0.02857142857142858,582,514,503,-0.021400778210116767
Guarda,3,5,3,-0.4,18,17,13,-0.23529411764705888,143,125,135,0.08000000000000007,164,147,151,0.027210884353741527
Leiria,8,4,6,0.5,22,24,30,0.25,472,466,438,-0.06008583690987124,502,494,474,-0.04048582995951422
Lisboa,11,10,9,-0.09999999999999998,34,35,38,0.08571428571428563,2090,1646,1771,0.07594167679222363,2135,1691,1818,0.07510348905972797
Portalegre,1,4,0,-1,13,4,15,2.75,104,101,90,-0.1089108910891089,118,109,105,-0.03669724770642202
Porto,18,10,8,-0.19999999999999996,27,33,31,-0.06060606060606055,1854,1444,1530,0.059556786703601095,1899,1487,1569,0.05514458641560194
Santarém,9,9,6,-0.33333333333333337,41,41,38,-0.07317073170731703,508,432,450,0.04166666666666674,558,482,494,0.024896265560165887
Setúbal,3,6,5,-0.16666666666666663,21,26,33,0.26923076923076916,820,808,756,-0.0643564356435643,844,840,794,-0.05476190476190479
V. Castelo,2,3,4,0.33333333333333326,10,6,8,0.33333333333333326,250,252,272,0.0793650793650793,262,261,284,0.08812260536398475
Vila Real,1,4,2,-0.5,5,9,7,-0.2222222222222222,263,184,200,0.08695652173913038,269,197,209,0.060913705583756306
Viseu,9,4,3,-0.25,18,13,19,0.46153846153846145,405,362,407,0.12430939226519344,432,379,429,0.13192612137203175
R.A. Açores,6,4,2,-0.5,23,12,17,0.41666666666666674,180,167,201,0.20359281437125754,209,183,220,0.20218579234972678
R.A. Madeira,30,2,2,0,27,11,6,-0.4545454545454546,238,221,259,0.17194570135746612,295,234,267,0.14102564102564097
Total,145,105,76,-0.2761904761904762,418,366,425,0.1612021857923498,10667,9201,9497,0.03217041625910233,11230,9672,9998,0.0337055417700578
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
