Quadro 6.10 Condutores vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
AE,38,27,36,0.33333333333333326,94,98,103,0.05102040816326525,1926,1787,1933,0.0817011751538892,2058,1912,2072,0.08368200836820083
Arruamento,143,132,122,-0.0757575757575758,721,775,793,0.023225806451612874,17576,17176,17849,0.03918258034466704,18440,18083,18764,0.037659680362771564
EM,29,25,28,0.1200000000000001,111,112,103,-0.0803571428571429,1130,1072,1042,-0.027985074626865725,1270,1209,1173,-0.02977667493796521
EN,118,144,166,0.15277777777777768,385,538,518,-0.03717472118959109,5612,6154,6407,0.041111472213194666,6115,6836,7091,0.037302516091281435
ER,3,11,6,-0.4545454545454546,22,56,53,-0.0535714285714286,310,432,435,0.00694444444444442,335,499,494,-0.01002004008016033
IC,18,29,27,-0.06896551724137934,50,49,58,0.18367346938775508,868,755,867,0.1483443708609271,936,833,952,0.1428571428571428
IP,14,12,5,-0.5833333333333333,14,18,15,-0.16666666666666663,226,177,225,0.27118644067796605,254,207,245,0.18357487922705307
Outras vias*,40,48,41,-0.14583333333333337,118,138,132,-0.04347826086956519,1228,1471,1505,0.023113528212100665,1386,1657,1678,0.012673506336753126
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
"* Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
