Quadro 6.16 Condutores vítimas em Portugal por acessórios de segurança,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Acessório de segurança,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Com capacete,152,184,180,-0.021739130434782594,692,867,866,-0.0011534025374856371,8787,9784,10173,0.03975878986099746,9631,10835,11219,0.035440701430549115
Com cinto de segurança,176,177,174,-0.016949152542372836,641,669,660,-0.013452914798206317,17663,16092,16576,0.030077056922694467,18480,16938,17410,0.027866336049120255
Isento,40,40,40,0,132,176,174,-0.011363636363636354,1972,2617,2920,0.11578142911730982,2144,2833,3134,0.10624779385810101
Sem uso de cinto/capacete,33,27,35,0.2962962962962963,39,57,61,0.07017543859649122,178,255,237,-0.07058823529411762,250,339,333,-0.017699115044247815
n.d.,2,0,2,-,11,15,14,-0.06666666666666665,276,276,357,0.2934782608695652,289,291,373,0.2817869415807561
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
