Quadro 6.3 Condutores vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Jan,38,33,35,0.06060606060606055,90,107,127,0.1869158878504673,2198,2109,2086,-0.010905642484589806,2326,2249,2248,-0.0004446420631392112
Fev,33,29,31,0.06896551724137923,86,121,125,0.03305785123966931,1910,1881,2120,0.12706007442849554,2029,2031,2276,0.12063023141309692
Mar,28,23,24,0.04347826086956519,117,127,108,-0.14960629921259838,2262,2213,2183,-0.013556258472661509,2407,2363,2315,-0.02031316123571736
Abr,28,48,30,-0.375,114,162,150,-0.07407407407407407,2218,2406,2423,0.007065669160432275,2360,2616,2603,-0.004969418960244609
Mai,36,32,41,0.28125,145,150,158,0.05333333333333323,2554,2545,2716,0.06719056974459714,2735,2727,2915,0.06894022735606886
Jun,31,45,37,-0.1777777777777778,134,191,152,-0.20418848167539272,2363,2591,2639,0.018525665766113475,2528,2827,2828,0.00035373187124165817
Jul,32,42,49,0.16666666666666674,152,211,204,-0.033175355450236976,2799,2905,2917,0.004130808950085996,2983,3158,3170,0.0037998733375554927
Ago,46,43,51,0.18604651162790709,186,202,182,-0.09900990099009899,2723,2888,2723,-0.05713296398891965,2955,3133,2956,-0.056495371848068965
Set,39,35,42,0.19999999999999996,134,152,155,0.019736842105263053,2502,2572,2721,0.05793157076205291,2675,2759,2918,0.057629575933309196
Out,26,38,28,-0.26315789473684215,129,126,133,0.05555555555555558,2724,2459,2705,0.10004066693777958,2879,2623,2866,0.09264201296225694
Nov,34,27,28,0.03703703703703698,113,109,131,0.201834862385321,2335,2284,2454,0.07443082311733806,2482,2420,2613,0.07975206611570251
Dez,32,33,35,0.06060606060606055,115,126,150,0.19047619047619047,2288,2171,2576,0.18654997696913855,2435,2330,2761,0.18497854077253217
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
