,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 7. Sinistralidade no Continente por período horário,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,,,,,,,,,,,,,,
[00:00-03:00[,1199,1243,0.03669724770642202,38,38,0,131,129,-0.01526717557251911,1449,1490,0.028295376121463045,,,,,,,,,,,,,,
[03:00-06:00[,753,741,-0.015936254980079667,33,27,-0.18181818181818177,105,77,-0.2666666666666667,876,850,-0.029680365296803624,,,,,,,,,,,,,,
[06:00-09:00[,3866,4164,0.07708225556130377,53,62,0.16981132075471694,239,278,0.16317991631799167,4476,4860,0.08579088471849872,,,,,,,,,,,,,,
[09:00-12:00[,5754,6117,0.06308654848800832,55,48,-0.12727272727272732,286,309,0.08041958041958042,6679,7069,0.05839197484653402,,,,,,,,,,,,,,
[12:00-15:00[,6265,6529,0.042138866719872325,67,58,-0.13432835820895528,414,444,0.07246376811594213,7358,7733,0.050964936123946813,,,,,,,,,,,,,,
[15:00-18:00[,7669,7768,0.012909114617290385,67,83,0.23880597014925375,538,526,-0.022304832713754608,9211,9184,-0.002931277819997802,,,,,,,,,,,,,,
[18:00-21:00[,6886,6965,0.011472553006099284,107,100,-0.06542056074766356,514,573,0.11478599221789887,7962,8165,0.02549610650590295,,,,,,,,,,,,,,
[21:00-00:00[,2582,2811,0.08869093725793964,47,47,0,210,240,0.1428571428571428,3047,3332,0.09353462422054482,,,,,,,,,,,,,,
Total,34974,36338,0.039000400297363846,467,463,-0.008565310492505307,2437,2576,0.057037340993024266,41058,42683,0.039578157728092034,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
