,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 15. Sinistralidade em Portugal por distrito e R. A.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-setembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,,,,,,,,,,,,,,
Aveiro,2158,2184,0.012048192771084265,21,28,0.33333333333333326,153,118,-0.2287581699346405,2478,2500,0.008878127522195411,,,,,,,,,,,,,,
Beja,399,395,-0.010025062656641603,16,15,-0.0625,85,76,-0.10588235294117643,435,475,0.09195402298850586,,,,,,,,,,,,,,
Braga,2449,2578,0.05267456104532453,35,21,-0.4,164,152,-0.07317073170731703,2941,3090,0.05066303978238684,,,,,,,,,,,,,,
Bragança,289,309,0.0692041522491349,9,14,0.5555555555555556,38,53,0.39473684210526305,342,330,-0.03508771929824561,,,,,,,,,,,,,,
C. Branco,409,419,0.02444987775061125,8,11,0.375,53,66,0.24528301886792447,467,495,0.05995717344753748,,,,,,,,,,,,,,
Coimbra,1237,1276,0.031527890056588515,20,17,-0.15000000000000002,82,78,-0.04878048780487809,1433,1500,0.04675505931612012,,,,,,,,,,,,,,
Évora,390,338,-0.1333333333333333,9,7,-0.2222222222222222,58,53,-0.08620689655172409,443,386,-0.12866817155756205,,,,,,,,,,,,,,
Faro,1812,1771,-0.022626931567328867,26,25,-0.038461538461538436,160,168,0.050000000000000044,2004,1996,-0.003992015968063867,,,,,,,,,,,,,,
Guarda,369,322,-0.12737127371273715,13,5,-0.6153846153846154,43,24,-0.4418604651162791,427,381,-0.10772833723653397,,,,,,,,,,,,,,
Leiria,1383,1452,0.049891540130151846,27,19,-0.2962962962962963,134,139,0.03731343283582089,1589,1670,0.05097545626179989,,,,,,,,,,,,,,
Lisboa,5617,5923,0.05447747908136025,47,38,-0.19148936170212771,237,284,0.19831223628691985,6607,6978,0.05615256546087477,,,,,,,,,,,,,,
Portalegre,244,267,0.09426229508196715,7,12,0.7142857142857142,41,80,0.9512195121951219,261,279,0.06896551724137923,,,,,,,,,,,,,,
Porto,4671,4722,0.010918432883750828,47,37,-0.21276595744680848,179,158,-0.11731843575418999,5557,5578,0.0037790174554614975,,,,,,,,,,,,,,
Santarém,1251,1266,0.011990407673860837,17,24,0.41176470588235303,164,187,0.1402439024390243,1461,1521,0.04106776180698146,,,,,,,,,,,,,,
Setúbal,2041,2159,0.057814796668299806,23,28,0.21739130434782616,159,174,0.09433962264150941,2468,2563,0.03849270664505666,,,,,,,,,,,,,,
V. Castelo,703,685,-0.02560455192034139,9,12,0.33333333333333326,62,48,-0.22580645161290325,848,817,-0.03655660377358494,,,,,,,,,,,,,,
Vila Real,518,511,-0.013513513513513487,8,7,-0.125,49,48,-0.020408163265306145,604,614,0.01655629139072845,,,,,,,,,,,,,,
Viseu,1056,1104,0.045454545454545414,18,10,-0.4444444444444444,96,90,-0.0625,1258,1310,0.04133545310015907,,,,,,,,,,,,,,
RA Açores,524,499,-0.04770992366412219,5,4,-0.19999999999999996,77,98,0.2727272727272727,591,577,-0.02368866328257191,,,,,,,,,,,,,,
RA Madeira,736,795,0.08016304347826098,7,3,-0.5714285714285714,55,67,0.21818181818181825,832,916,0.10096153846153855,,,,,,,,,,,,,,
Total,28256,28975,0.025445922989807412,372,337,-0.09408602150537637,2089,2161,0.03446625179511731,33046,33976,0.02814258911819878,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
