,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 23. Infrações,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-setembro,N.º Condutores / Veículos fiscalizados,,,Total de infrações,,,Taxa de infração,,,,,,,,,,,,,,,,,,,
Entidade fiscalizadora,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,,,,,,,,,,,,,,,,,
ANSR,182233876,222929721,0.22331657479534694,460765,422885,-0.08221110544420696,0.0025284267124955407,0.0018969431177819488,-0.2497535687282475,,,,,,,,,,,,,,,,,
GNR,4511489,13239867,1.9347000513577668,140735,180683,0.2838526308309943,0.031194800652290185,0.013646889353193654,-0.5625267971638165,,,,,,,,,,,,,,,,,
PSP,2152665,2361912,0.09720369867118195,145010,177305,0.2227087787049169,0.06736301282363953,0.07506841914516714,0.11438630783484749,,,,,,,,,,,,,,,,,
PML(1),471245,938011,0.9904953898715105,180308,276902,0.535716662599552,0.17499085487754043,0.1641794252626522,-0.06178282643658228,,,,,,,,,,,,,,,,,
Total (2),189369275,239469511,0.2645636996814822,926818,1057775,0.14129742840557702,0.004270632014700798,0.0038054679947102333,-0.10892158780932892,,,,,,,,,,,,,,,,,
"(1) Na PML, os veículos fiscalizados por radar fixo correspondem ao número de infrações, pelo que a taxa de infração apenas inclui radares móveis",,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Taxa de infração global: sem radares fixos PML (fiscalização e infrações),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
