,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 3. Evolução da Sinistralidade no Continente,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,AcV,AcVM+AcFG,AcVM,Vítimas totais,VM,FG,FL,IGR,,,,,,,,,,,,,,,,,,
2016,23918,1661,306,30912,322,1583,29007,1.3462664102349695,,,,,,,,,,,,,,,,,,
2019,26306,1831,327,34089,360,1764,31965,1.3685090853797612,,,,,,,,,,,,,,,,,,
2020,19598,1481,286,24502,302,1371,22829,1.5409735687315032,,,,,,,,,,,,,,,,,,
2021,20670,1595,268,25956,286,1496,24174,1.3836477987421385,,,,,,,,,,,,,,,,,,
2022,24549,1840,321,30958,352,1770,28836,1.4338669599576357,,,,,,,,,,,,,,,,,,
2023,26393,1988,340,33266,372,1885,31009,1.409464630773311,,,,,,,,,,,,,,,,,,
2024,26996,2050,340,33940,360,1957,31623,1.3335308934656986,,,,,,,,,,,,,,,,,,
2025,27681,2045,304,34809,330,1996,32483,1.192153462663921,,,,,,,,,,,,,,,,,,
∆(%) 25/16,0.15732920812776996,0.23118603251053593,-0.006535947712418277,0.126067546583851,0.024844720496894457,0.26089703095388495,0.11983314372392861,-0.11447433167715337,,,,,,,,,,,,,,,,,,
∆(%) 25/19,0.05226944423325475,0.11687602403058439,-0.07033639143730885,0.021121182786236092,-0.08333333333333337,0.1315192743764173,0.016205224464257872,-0.12886697253230261,,,,,,,,,,,,,,,,,,
∆(%) 25/24,0.025374129500666864,-0.0024390243902439046,-0.10588235294117643,0.025604007071302393,-0.08333333333333337,0.019928461931527863,0.027195395756253404,-0.10601736449791088,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
