,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 6. Sinistralidade em Portugal por dia da semana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-setembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,2024,2025,∆(%) 25/24,,,,,,,,,,,,,,
2.ª feira,4028,4261,0.05784508440913605,32,37,0.15625,271,288,0.0627306273062731,4690,4964,0.05842217484008527,,,,,,,,,,,,,,
3.ª feira,4043,4088,0.011130348750927554,46,38,-0.17391304347826086,263,279,0.06083650190114076,4710,4748,0.008067940552016983,,,,,,,,,,,,,,
4.ª feira,4210,4271,0.014489311163895513,48,45,-0.0625,291,269,-0.07560137457044669,4822,4927,0.021775197013687242,,,,,,,,,,,,,,
5.ª feira,4052,4118,0.016288252714708795,53,42,-0.2075471698113207,242,246,0.016528925619834656,4711,4802,0.019316493313521477,,,,,,,,,,,,,,
6.ª feira,4454,4493,0.008756174225415414,59,45,-0.23728813559322037,312,340,0.08974358974358965,5150,5218,0.013203883495145563,,,,,,,,,,,,,,
Sábado,3876,4050,0.04489164086687314,57,80,0.4035087719298245,351,389,0.10826210826210825,4592,4776,0.04006968641114983,,,,,,,,,,,,,,
Domingo,3593,3694,0.02811021430559424,77,50,-0.35064935064935066,359,350,-0.02506963788300831,4371,4541,0.038892701898878945,,,,,,,,,,,,,,
Total,28256,28975,0.025445922989807412,372,337,-0.09408602150537637,2089,2161,0.03446625179511731,33046,33976,0.02814258911819878,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
